"","Intercept","Q1.50","age_young_vs_old"
"ENSNFUG00015000040",1.43422992491108,0.000725486731926035,-2.71756642806861
"ENSNFUG00015000041",4.5612407698496,0.000392774512459021,-0.439723403584551
"ENSNFUG00015000042",8.88210266832046,0.000274767023276217,-0.168948181797938
"ENSNFUG00015000043",10.5769150235885,-0.000350919589406356,-0.424361228453873
"ENSNFUG00015000044",6.73378821399564,-0.000994482882090795,0.457770097262674
"ENSNFUG00015000045",8.14406214396522,0.000194039036430199,-0.422463173777971
"ENSNFUG00015000046",3.33592097306694,0.00152539489779002,-0.637261530912446
"ENSNFUG00015000047",8.64576316524172,-3.73793361490306e-05,0.0720359730243874
"ENSNFUG00015000048",6.85768902078871,-0.000217847380849982,-0.0576913403174076
"ENSNFUG00015000049",9.45170038608977,0.000242005042912092,-0.469699652398649
"ENSNFUG00015000050",8.06623870601359,7.07046833317377e-05,-0.196745537187936
"ENSNFUG00015000051",9.14421264217629,-0.000593446890582528,-0.160941892408464
"ENSNFUG00015000052",7.60091684053623,-7.96565595765523e-05,-0.39100149860476
"ENSNFUG00015000053",2.15725001386424,0.00183507188922459,-0.665219492729467
"ENSNFUG00015000054",8.57941497269318,-0.000175728806507795,0.377898688854997
"ENSNFUG00015000055",5.09269631307716,-5.7997569269458e-05,0.648672213059181
"ENSNFUG00015000056",2.66637501439183,0.000383934065261011,0.24805133397877
"ENSNFUG00015000058",9.58258454391375,6.31446056371488e-05,-0.0803872687741744
"ENSNFUG00015000063",6.58221388429956,-0.000766554102891543,0.0887032189373299
"ENSNFUG00015000126",8.98187070705194,0.000279649396551368,-0.140256939076601
"ENSNFUG00015000127",8.26094788190626,0.00042414166858638,0.586918556898561
"ENSNFUG00015000133",4.99466238693196,0.00103768430076833,-0.0304346586305408
"ENSNFUG00015000165",-1.14096872535801,-0.00337916951149393,1.87095583000479
"ENSNFUG00015000166",5.65331963882047,-0.00406806983582051,2.08355863305885
"ENSNFUG00015000167",-0.330226121662701,-0.0015863274934424,1.66870555288545
"ENSNFUG00015000168",5.82017044870814,-1.49873915383051e-06,-0.975397764301354
"ENSNFUG00015000176",7.05601428208811,-0.000190860640822052,0.0305053364493369
"ENSNFUG00015000179",7.59910284745006,-0.000152881942607148,0.273063950440194
"ENSNFUG00015000180",8.36810260066435,-0.0031185999153332,1.70856704608908
"ENSNFUG00015000184",6.41649030247215,-0.00316712121321873,2.5428601001256
"ENSNFUG00015000189",2.31730400331617,0.000443426101096032,0.536964642503277
"ENSNFUG00015000192",-0.660448683095611,0.00209535445007429,-0.51095967278722
"ENSNFUG00015000196",7.77044595889195,-0.00396195589375375,1.45160990648542
"ENSNFUG00015000197",7.50574818109427,0.000728097863167199,-0.498621278164611
"ENSNFUG00015000201",1.37436616829745,0.00262737513824106,-0.597338595813167
"ENSNFUG00015000204",7.0294502037124,-0.000628952335423755,0.245831535715496
"ENSNFUG00015000207",8.09660834288387,-0.00371349234500722,1.7449825969558
"ENSNFUG00015000208",9.30575196654817,0.000415456378989983,-0.482522970035051
"ENSNFUG00015000209",9.96480780713954,0.000108433904747846,-0.220645973893456
"ENSNFUG00015000213",12.9389993116275,0.000642922110825725,-0.401054651100996
"ENSNFUG00015000214",9.04174269096909,-0.00206596167962664,1.4184680975112
"ENSNFUG00015000218",6.45410781621236,-0.00301655750750028,2.03833769191469
"ENSNFUG00015000221",8.51453703820463,-0.00408185840562908,2.0024661023851
"ENSNFUG00015000228",2.92489629301289,-0.00461193847919308,2.31382530711122
"ENSNFUG00015000230",6.97581076716186,-0.000315101563357692,0.0258540449929665
"ENSNFUG00015000231",5.6539060667375,0.000227089340433684,0.944731245646717
"ENSNFUG00015000246",5.91296782161536,-0.000349628963851116,0.330118072527172
"ENSNFUG00015000247",8.21830396593498,0.00103326519831133,-0.683507214477066
"ENSNFUG00015000251",1.94002617002015,0.00131602714370937,0.248163539847558
"ENSNFUG00015000260",4.70662029677295,0.00151774913786831,-0.420778856599205
"ENSNFUG00015000263",2.49896883080819,-0.00176978608386427,1.17882224155551
"ENSNFUG00015000268",3.96901947186481,-0.00236955647592744,1.56194021709726
"ENSNFUG00015000269",12.9692854868879,0.000601169098098737,-0.816759494389372
"ENSNFUG00015000273",3.50786994249426,-0.000841254301676398,0.713688692855485
"ENSNFUG00015000278",5.73958688283076,-0.00142034522650228,0.555574840052758
"ENSNFUG00015000282",1.55863804025574,0.000791866604063528,0.408043503333695
"ENSNFUG00015000291",3.82501157766098,-0.00314875470311706,3.43706892747753
"ENSNFUG00015000294",3.97215400142346,0.00334700300399279,-0.356122658992917
"ENSNFUG00015000299",6.999475464489,0.000315234312992172,-0.109026268387367
"ENSNFUG00015000302",-0.477606527400082,-0.000544198031652608,0.119372190026105
"ENSNFUG00015000304",8.91669542235371,0.00068906876089112,-0.463800328890436
"ENSNFUG00015000306",6.281652672613,5.99218681039968e-05,-0.127712539801905
"ENSNFUG00015000309",6.02856727100133,-0.00266033769753347,0.506903002461932
"ENSNFUG00015000310",10.2086069585437,-0.000233700255623746,-0.343314020542221
"ENSNFUG00015000320",4.31443682468806,-0.000864293949051992,-0.62582577050021
"ENSNFUG00015000330",10.3580779548408,0.000174965357041298,-0.132520356454225
