"","Intercept","Q0.00"
"ENSNFUG00015000040",2.20612335077515,-0.00693433278519732
"ENSNFUG00015000041",4.5954567283599,-0.00048136055299801
"ENSNFUG00015000042",8.87079492952877,-3.85099654976841e-05
"ENSNFUG00015000043",10.7450458992679,-0.00137206561912615
"ENSNFUG00015000044",6.77794291647621,-4.77390893505391e-06
"ENSNFUG00015000045",8.17447221085209,-0.00052860636024581
"ENSNFUG00015000046",3.41610603205925,-0.000430973287410475
"ENSNFUG00015000047",8.63244900201453,0.000126418637058973
"ENSNFUG00015000048",6.88118078382308,-0.000253761145851588
"ENSNFUG00015000049",9.50937925484455,-0.00067594473845548
"ENSNFUG00015000050",8.08557724768358,-0.000281463781814702
"ENSNFUG00015000051",9.22323239781186,-0.000759949030055895
"ENSNFUG00015000052",7.6423488595666,-0.000643884328329713
"ENSNFUG00015000053",1.96199949476979,0.000812280574417084
"ENSNFUG00015000054",8.51096358243693,0.000678109662539135
"ENSNFUG00015000055",4.93334137120229,0.00144425471826676
"ENSNFUG00015000056",2.66852123421127,0.000471086105515534
"ENSNFUG00015000058",9.59553134597623,-0.00012346602471946
"ENSNFUG00015000063",6.61836588867995,-0.000351190604850749
"ENSNFUG00015000126",8.97901133072806,-3.9436699340477e-05
"ENSNFUG00015000127",8.15656210394874,0.0013622130880123
"ENSNFUG00015000133",4.89604499486794,0.00079191292878613
"ENSNFUG00015000165",-1.10356969123968,0.00116201573283312
"ENSNFUG00015000166",5.74665130420114,0.0010327426061794
"ENSNFUG00015000167",-0.600075430974438,0.00273981617151337
"ENSNFUG00015000168",5.90944836494722,-0.00137086778419757
"ENSNFUG00015000176",7.03461792744369,4.80895766333485e-05
"ENSNFUG00015000179",7.56472447180646,0.000414411574777039
"ENSNFUG00015000180",8.38880784057885,0.00109165449027091
"ENSNFUG00015000184",6.13466745332926,0.00378194558177317
"ENSNFUG00015000189",2.28643279274253,0.00103002286819932
"ENSNFUG00015000192",-0.463865788495742,-0.000485962059754333
"ENSNFUG00015000196",7.93021231504721,-0.00025678922046649
"ENSNFUG00015000197",7.53612579322633,-0.000395180782669528
"ENSNFUG00015000201",1.23896986644798,0.000984665064012663
"ENSNFUG00015000204",7.08859697811911,-0.000199752104096316
"ENSNFUG00015000207",8.16369573765072,0.000687384163823164
"ENSNFUG00015000208",9.32672748668815,-0.000461475293867043
