"","Intercept","age_young_vs_old"
"ENSNFUG00015000040",1.43580150542653,-2.51582788552195
"ENSNFUG00015000041",4.57503338745219,-0.351537962177079
"ENSNFUG00015000042",8.89239034417637,-0.110484706742306
"ENSNFUG00015000043",10.5680481750864,-0.51058335915374
"ENSNFUG00015000044",6.70044445915944,0.247555763242334
"ENSNFUG00015000045",8.1514022042906,-0.380744590203922
"ENSNFUG00015000046",3.38186138743751,-0.248544591489573
"ENSNFUG00015000047",8.64434764424958,0.0640638236973294
"ENSNFUG00015000048",6.85006300132393,-0.104186802397452
"ENSNFUG00015000049",9.46028725153431,-0.416797523444094
"ENSNFUG00015000050",8.06904664098361,-0.181952339501064
"ENSNFUG00015000051",9.12402059658564,-0.287153971892347
"ENSNFUG00015000052",7.59775067021979,-0.407338666636139
"ENSNFUG00015000053",2.25284111239151,-0.32269799584219
"ENSNFUG00015000054",8.5723725772844,0.343430480964078
"ENSNFUG00015000055",5.09041140114227,0.636866047972483
"ENSNFUG00015000056",2.67868965815611,0.335651685226284
"ENSNFUG00015000058",9.5848702410122,-0.0668047808517475
"ENSNFUG00015000063",6.55367422798661,-0.066704627185577
"ENSNFUG00015000126",8.99232421666455,-0.080388848574421
"ENSNFUG00015000127",8.27638215644597,0.678987655136484
"ENSNFUG00015000133",5.03730885461035,0.192849645143637
"ENSNFUG00015000165",-1.26362851799275,1.22885148062004
"ENSNFUG00015000166",5.57011561151113,1.15573226168998
"ENSNFUG00015000167",-0.364051870872882,1.27071966588249
"ENSNFUG00015000168",5.81986380088635,-0.975267247434079
"ENSNFUG00015000176",7.04884633843383,-0.00871782272583397
"ENSNFUG00015000179",7.59376826686851,0.240396339405066
"ENSNFUG00015000180",8.29518509135359,1.01021776051273
"ENSNFUG00015000184",6.31340755671875,1.92959224876234
"ENSNFUG00015000189",2.33212474384974,0.639955358541888
"ENSNFUG00015000192",-0.622882653118167,0.0974087313188991
"ENSNFUG00015000196",7.69175542645673,0.544074575194762
"ENSNFUG00015000197",7.53186364607466,-0.335210776193915
"ENSNFUG00015000201",1.4844205843428,0.025681722264284
"ENSNFUG00015000204",7.01173159950525,0.0991818291457309
"ENSNFUG00015000207",8.02145374790171,0.882597359709689
"ENSNFUG00015000208",9.32151107541532,-0.393990126321552
"ENSNFUG00015000209",9.96852276670301,-0.196742707294724
"ENSNFUG00015000213",12.9639631696502,-0.264946178916893
"ENSNFUG00015000214",8.97342590591516,1.0065962057149
"ENSNFUG00015000218",6.36767090473957,1.41069392371057
"ENSNFUG00015000221",8.43166871071526,1.07019861035872
"ENSNFUG00015000228",2.82911069288455,1.29632520559618
"ENSNFUG00015000230",6.96421313062722,-0.0407996942095444
"ENSNFUG00015000231",5.66402059010508,0.987549910111263
"ENSNFUG00015000246",5.89968249174108,0.258753216423455
"ENSNFUG00015000247",8.25177649332312,-0.435359178384363
"ENSNFUG00015000251",1.9819838632977,0.573592980711333
"ENSNFUG00015000260",4.77026655715862,-0.0900543716465366
"ENSNFUG00015000263",2.43916422697016,0.812797448387635
"ENSNFUG00015000268",3.88914792707698,1.09464857618925
"ENSNFUG00015000269",12.9893932674943,-0.67865421386705
"ENSNFUG00015000273",3.47486581539356,0.546798537433121
"ENSNFUG00015000278",5.68707976396829,0.279453394100967
"ENSNFUG00015000282",1.59152879201933,0.575435435834371
"ENSNFUG00015000291",3.69570835179314,2.89997733417757
"ENSNFUG00015000294",4.15066705579314,0.331843122187646
"ENSNFUG00015000299",7.01455277558852,-0.0528064983618833
"ENSNFUG00015000302",-0.494409556733051,-0.00787111680476515
"ENSNFUG00015000304",8.94123329450332,-0.308892732743016
"ENSNFUG00015000306",6.28375078636782,-0.114777502531745
"ENSNFUG00015000309",5.93970041820356,-0.000166717075689299
"ENSNFUG00015000310",10.2013494888733,-0.396368268796566
"ENSNFUG00015000320",4.2779749421035,-0.787559142999424
"ENSNFUG00015000330",10.3643058834823,-0.0944427126537586
"ENSNFUG00015000338",4.60571863307181,-0.0531001102802027
"ENSNFUG00015000351",9.65744575046462,-0.193366803547175
"ENSNFUG00015000352",8.0300741698162,0.659966298110032
"ENSNFUG00015000353",-1.84070392214894,0.0512787464054038
"ENSNFUG00015000357",-0.971388185831309,0.483376351111604
"ENSNFUG00015000358",-0.998130922180794,-0.791291208043313
"ENSNFUG00015000361",10.9902848349178,0.0358006954398744
"ENSNFUG00015000364",0.907092684635398,-0.383353207001787
"ENSNFUG00015000368",8.32565234744605,-0.454155290887192
"ENSNFUG00015000375",-0.138650837533634,1.23575432396247
"ENSNFUG00015000378",-1.84070434487957,-0.670062479924368
"ENSNFUG00015000380",0.0670573470103216,-0.544937943878448
"ENSNFUG00015000382",9.24849767466751,0.18854841323279
"ENSNFUG00015000387",8.1823513932607,-0.0500800815905956
"ENSNFUG00015000388",3.83685784395825,0.204055266773067
"ENSNFUG00015000392",5.2485332529874,2.75718519451433
"ENSNFUG00015000397",8.27562905917584,0.199091109540241
"ENSNFUG00015000398",9.13870912335775,-0.021616063273974
"ENSNFUG00015000424",8.89844649015196,-0.0642655427588214
"ENSNFUG00015000428",10.8647225480603,0.0432852113145096
"ENSNFUG00015000443",10.8604798081782,0.982200248693741
"ENSNFUG00015000453",6.3699593609924,-0.171994455250082
"ENSNFUG00015000459",5.82985175651841,-0.139128271309632
"ENSNFUG00015000463",8.81085458469485,-0.183443675034126
"ENSNFUG00015000467",9.42135123116745,-0.530171855252603
"ENSNFUG00015000475",7.91522278163289,0.625139977547395
"ENSNFUG00015000479",7.67325571623791,-0.562607150778279
