"","Intercept","Q2.00"
"ENSNFUG00015000040",1.31692111326638,-0.00627681947921452
"ENSNFUG00015000041",4.52758398553611,-0.000659444504537384
"ENSNFUG00015000042",8.87072855548167,-0.000129316687234754
"ENSNFUG00015000043",10.529220419699,-0.00139545589129993
"ENSNFUG00015000044",6.77183637966655,6.84331306615409e-05
"ENSNFUG00015000045",8.10843134679772,-0.000853695871715898
"ENSNFUG00015000046",3.28580232803887,0.000378545002139279
"ENSNFUG00015000047",8.65414674929464,0.000124748332870925
"ENSNFUG00015000048",6.84982029607545,-0.000415003391805949
"ENSNFUG00015000049",9.41379908505029,-0.000910493708311426
"ENSNFUG00015000050",8.04928628106068,-0.000438157096535614
"ENSNFUG00015000051",9.12184333107906,-0.0011211467647911
"ENSNFUG00015000052",7.56949488032486,-0.00115929906951444
"ENSNFUG00015000053",2.14538817038665,0.00028134956424013
"ENSNFUG00015000054",8.62820761553659,0.000685321648614863
"ENSNFUG00015000055",5.17609631759466,0.00162391779404167
"ENSNFUG00015000056",2.68604770360736,0.00124880579530885
"ENSNFUG00015000058",9.57419410375835,-0.000116046841769426
"ENSNFUG00015000063",6.58765514817269,-0.000762632297066328
"ENSNFUG00015000126",8.97160977312824,-2.90940663400601e-05
"ENSNFUG00015000127",8.33927008341334,0.00206043444485438
"ENSNFUG00015000133",5.00345152612867,0.00117906730776935
"ENSNFUG00015000165",-0.811555006982482,3.04309855519511e-05
"ENSNFUG00015000166",5.87577986323937,0.00165878591969394
"ENSNFUG00015000167",-0.0990914166756426,0.00269701932310949
"ENSNFUG00015000168",5.76208510583969,-0.00262371948273355
"ENSNFUG00015000176",7.06132571718053,-0.000210858032431734
"ENSNFUG00015000179",7.62705990111272,0.00053201546706279
"ENSNFUG00015000180",8.55504066034122,0.00139680154646768
"ENSNFUG00015000184",6.80794125360672,0.00415393929010267
"ENSNFUG00015000189",2.37187197100855,0.00211293638710983
"ENSNFUG00015000192",-0.771885494906773,0.00194303115858991
"ENSNFUG00015000196",7.89249216516016,-0.000333288556918373
"ENSNFUG00015000197",7.46740259122539,-0.000348828455667269
"ENSNFUG00015000201",1.34443129555008,0.0017819632829352
"ENSNFUG00015000204",7.0397201464041,1.71249783611753e-05
"ENSNFUG00015000207",8.25474364373674,0.0010393749650029
"ENSNFUG00015000208",9.26993308877855,-0.000757321130183059
"ENSNFUG00015000209",9.9441453926083,-0.000422790655309897
"ENSNFUG00015000213",12.9122767903047,-0.000275234353019818
"ENSNFUG00015000214",9.2131523500036,0.00162511992907039
"ENSNFUG00015000218",6.70759071167374,0.00269762465799725
"ENSNFUG00015000221",8.72029459727617,0.00137805364591819
"ENSNFUG00015000228",3.22369712490417,0.00144811458735991
"ENSNFUG00015000230",6.97714703705649,-0.000344002624902404
"ENSNFUG00015000231",5.79011440149517,0.00279861815713446
"ENSNFUG00015000246",5.95132537964527,0.000377143132935003
"ENSNFUG00015000247",8.16827226816731,-0.000414293269712598
"ENSNFUG00015000251",1.94678535167679,0.00261501699117871
"ENSNFUG00015000260",4.68658581976321,0.000759292243307543
"ENSNFUG00015000263",2.62605393770841,0.00132166878876557
"ENSNFUG00015000268",4.18092400248027,0.00148339906269067
"ENSNFUG00015000269",12.9113639431366,-0.00131880839313709
"ENSNFUG00015000273",3.60286014413007,0.000726528824161662
"ENSNFUG00015000278",5.7963332619613,-0.000322041002949469
"ENSNFUG00015000282",1.61411045043556,0.00205386726081963
"ENSNFUG00015000291",4.5383913897768,0.00729780157322289
"ENSNFUG00015000294",3.99350560062093,0.00303951216111423
"ENSNFUG00015000299",7.00635276436748,-9.67069746081041e-05
"ENSNFUG00015000302",-0.514769086138322,0.00023701176211266
"ENSNFUG00015000304",8.88236676187695,-0.00033615446543378
"ENSNFUG00015000306",6.27010483269089,-0.000261633805200181
"ENSNFUG00015000309",6.06152101666678,-0.00189677244787721
"ENSNFUG00015000310",10.1721639922536,-0.00111433281228803
