"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSNFUG00015000275",4.86754559991866,-0.647814267495338,0.798818425778501,-0.810965604435076,0.417385423441697,0.619998078260893
"ENSNFUG00015000283",1.82018954615528,2.48078324453327,1.23493496606973,2.00883715555366,0.0445544064344186,0.137337900581468
"ENSNFUG00015000287",166.193869685033,0.00388929641553254,0.138207493488869,0.0281409952337048,0.977549697540672,0.990365244477891
"ENSNFUG00015000288",602.673677508065,-0.426181463765144,0.212495448815638,-2.0056027841561,0.0448986446273269,0.138143474547913
"ENSNFUG00015000293",618.562624922342,0.640706141948181,0.294812431525814,2.1732670451927,0.0297602242763876,0.101749963654386
"ENSNFUG00015000295",3292.96964538056,-0.629668834384274,0.162016681506743,-3.88644446070861,0.000101723186310683,0.00126677066209132
"ENSNFUG00015000300",1446.93011050422,-0.61857035819837,0.178869602816823,-3.45821955467657,0.000543758059113059,0.00481068071640672
"ENSNFUG00015000307",328.188601216752,-0.547195406327284,0.149112663439088,-3.66967763640551,0.000242856529925735,0.00254071461189759
"ENSNFUG00015000311",870.983584259104,0.175189022241067,0.277799623145743,0.630630885158392,0.528281899596458,0.71200560592792
"ENSNFUG00015000313",336.160385862386,-0.178249805857194,0.102226384506826,-1.74367710172996,0.08121541039077,0.210306665155504
"ENSNFUG00015000314",156.329402639071,-1.12686383227169,0.23020794150294,-4.89498244463166,9.83145045137704e-07,3.81808001912307e-05
"ENSNFUG00015000322",3101.9135063254,-0.495493582303513,0.0890164898378882,-5.56631230018031,2.60186758968076e-08,2.51994852714103e-06
"ENSNFUG00015000323",675.91192127133,-0.36879705034806,0.119873851713408,-3.076542924722,0.00209416148312944,0.013692926749507
"ENSNFUG00015000324",132.232476478137,-0.0613785257787617,0.168624482583243,-0.363995339457672,0.715861489593199,0.846759285438599
"ENSNFUG00015000325",34.136351115163,0.181798465421801,0.334935957512817,0.542785751556233,0.587277324622879,0.756897705960818
"ENSNFUG00015000334",34.2939558363689,0.794920829962932,0.338918173891626,2.34546534001189,0.0190033453551727,0.0729779010100198
"ENSNFUG00015000341",32.4478955641517,0.611905665806199,0.304290585311786,2.01092539612825,0.0443333374082754,0.136964631616958
"ENSNFUG00015000346",20.037142274094,0.430719997017029,0.451217043707012,0.954573864228206,0.339793239354276,0.545553370177971
"ENSNFUG00015000359",123.627158859136,0.177856173483017,0.175182861584892,1.01526012233126,0.309981848014477,0.515644446644648
"ENSNFUG00015000366",603.778639207899,-0.480371674340278,0.196891295679813,-2.43978116290862,0.0146961614829179,0.0601265754528013
"ENSNFUG00015000372",4.63325686867244,1.4358035318335,0.858769826370046,1.67193057760604,0.0945380123269487,0.234825688811669
"ENSNFUG00015000386",328.009937435101,-0.0735886191171531,0.134193066184862,-0.548378699505821,0.583431899126931,0.753504692874641
"ENSNFUG00015000400",376.520270434514,0.228599010268902,0.107385870764818,2.12876245860638,0.0332739183732139,0.11089139528167
"ENSNFUG00015000412",343.858396569293,-0.155095670279033,0.163231754725796,-0.950156239755984,0.342032870258729,0.547961116400801
"ENSNFUG00015000414",0.265814735400991,-0.812633555668309,4.16886475528245,-0.194929220152466,0.845448358579109,NA
"ENSNFUG00015000418",452.569839368472,0.612176724968566,0.213374776028936,2.86902105469837,0.00411744389096604,0.0230957986994779
"ENSNFUG00015000423",559.217263409358,0.0886717860766224,0.120349554460773,0.736785328985363,0.461252906369111,0.65835499807025
"ENSNFUG00015000431",3.96695689942285,0.406673064836022,0.86759974279187,0.468733500919882,0.639260137776507,0.794483718573762
"ENSNFUG00015000436",46.973680816941,0.392113903569249,0.246478955536671,1.590861591877,0.111640727971636,0.263440760259912
"ENSNFUG00015000460",38.0179712489134,-0.139821502832513,0.264734164528241,-0.528158135847999,0.597389583277753,0.764629707266694
"ENSNFUG00015000466",205.89381765708,-0.244679995857921,0.20409210305344,-1.19887047169999,0.230578315072598,0.428288739890668
"ENSNFUG00015000473",200.76432480293,2.65453233442698,0.563148956279535,4.71373036356889,2.4322246705301e-06,7.49226541217877e-05
"ENSNFUG00015000481",174.247802460234,-0.02795999576126,0.13422447477487,-0.208307730822984,0.834988695722962,0.918976492776875
