"","Intercept","Q3.00","age_young_vs_old"
"ENSNFUG00015000040",1.40932622822791,0.00697371303670069,-3.44321023132128
"ENSNFUG00015000041",4.56765279106829,0.000577758919153533,-0.415391800258678
"ENSNFUG00015000042",8.88887176869921,0.000266921454533731,-0.138902953937686
"ENSNFUG00015000043",10.5688255181087,-8.14590963016472e-05,-0.500963158346727
"ENSNFUG00015000044",6.71912594772569,-0.00155197429234327,0.412524839238606
"ENSNFUG00015000045",8.14836101372824,0.000208881696477686,-0.403015262771269
"ENSNFUG00015000046",3.33036398514133,0.00457607768813259,-0.834830861884922
"ENSNFUG00015000047",8.64725843103069,-0.000217339826938398,0.0872315223367144
"ENSNFUG00015000048",6.85589529726085,-0.000472692678576022,-0.0535618597628284
"ENSNFUG00015000049",9.45220848099416,0.000633430411465149,-0.486157997164839
"ENSNFUG00015000050",8.06695774508091,0.000142231361899366,-0.196931168106483
"ENSNFUG00015000051",9.13537117928564,-0.000933839334743972,-0.187538050151269
"ENSNFUG00015000052",7.60484962238054,-0.000514687816744471,-0.353966159667126
"ENSNFUG00015000053",2.18442436826378,0.00378073187107147,-0.714358365045694
"ENSNFUG00015000054",8.58163947167186,-0.000652642069224132,0.408956351481309
"ENSNFUG00015000055",5.09149860118243,-7.72138839995659e-05,0.644929072923107
"ENSNFUG00015000056",2.66288543177156,0.00135474931413392,0.179500808964
"ENSNFUG00015000058",9.58181715212811,0.000235359988262966,-0.0923004762377488
"ENSNFUG00015000063",6.57513895800383,-0.00162175506084965,0.0996992776328792
"ENSNFUG00015000126",8.98546624908749,0.000508716004396466,-0.135078458629539
"ENSNFUG00015000127",8.26823326425674,0.000632328058398685,0.610672042795186
"ENSNFUG00015000133",5.00684351416453,0.00210468985920845,-0.0402163503090114
"ENSNFUG00015000165",-1.1444432464027,-0.00917679801936602,2.00049273955536
"ENSNFUG00015000166",5.60451306315869,-0.00449726651201642,1.66566255902413
"ENSNFUG00015000167",-0.333623067552602,-0.00306911297640738,1.61487516516061
"ENSNFUG00015000168",5.81366345741291,0.000468300319943944,-1.02590609679387
"ENSNFUG00015000176",7.05592453937473,-0.000532067405510165,0.0466931297397892
"ENSNFUG00015000179",7.59666710123804,-0.000248961271990291,0.267447537814403
"ENSNFUG00015000180",8.32898030149138,-0.0039649124445472,1.45014176927023
"ENSNFUG00015000184",6.35523149667302,-0.00376223764229145,2.31639491174366
"ENSNFUG00015000189",2.3129011740776,0.00158502247930914,0.454873102204258
"ENSNFUG00015000192",-0.713138648839397,0.0112173030435475,-1.47086285249569
"ENSNFUG00015000196",7.73109447987277,-0.00519979355911114,1.12296207770527
"ENSNFUG00015000197",7.51368217044618,0.00139758201141811,-0.490652601483109
"ENSNFUG00015000201",1.40511784988188,0.00542326513332993,-0.633377065234018
"ENSNFUG00015000204",7.02047786506657,-0.000845860880256133,0.195084236686045
"ENSNFUG00015000207",8.05203412329911,-0.00398897295350072,1.33908633544763
"ENSNFUG00015000208",9.31038382159035,0.000818063782527822,-0.481982375931469
"ENSNFUG00015000209",9.96771593753609,6.52766267379654e-05,-0.203832315700057
"ENSNFUG00015000213",12.9503428287532,0.000971442069599333,-0.367630771920365
"ENSNFUG00015000214",9.00720684900437,-0.00294816442745628,1.31091399720958
"ENSNFUG00015000218",6.40263030533017,-0.00347720294410358,1.78383083324953
"ENSNFUG00015000221",8.46739024284701,-0.00470066448574146,1.60089859827182
"ENSNFUG00015000228",2.87662043797857,-0.00596942125287437,1.94579564704884
"ENSNFUG00015000230",6.9746378320383,-0.000793091767872432,0.0433980944046707
"ENSNFUG00015000231",5.65513104577416,0.000570286740462931,0.930428465270359
"ENSNFUG00015000246",5.9132187383344,-0.00100388332841319,0.362316464310576
"ENSNFUG00015000247",8.22406228842001,0.0023297947152464,-0.710388719948581
"ENSNFUG00015000251",1.9294635666245,0.00447937439864913,0.0110468526538951
"ENSNFUG00015000260",4.72759182849349,0.00288310190842429,-0.411343250737982
"ENSNFUG00015000263",2.46011313333633,-0.00155543145739842,0.978338468990706
"ENSNFUG00015000268",3.93329272434812,-0.00364367800822554,1.46079439193823
"ENSNFUG00015000269",12.9750313930057,0.00117396123667082,-0.81079766606114
"ENSNFUG00015000273",3.50260311500803,-0.00197757438499327,0.745197938810278
"ENSNFUG00015000278",5.7247275585234,-0.00287140624417175,0.563083385393729
"ENSNFUG00015000282",1.5676178354941,0.00163694944510598,0.39708096512114
"ENSNFUG00015000291",3.74418052036948,-0.0034391838954526,3.22132624783307
"ENSNFUG00015000294",4.04663433495368,0.00539793310604789,-0.229517654609431
"ENSNFUG00015000299",7.01927018575681,-0.00029563555699214,-0.0251533884698114
"ENSNFUG00015000302",-0.51880043121964,0.00245053656471254,-0.315588616086725
"ENSNFUG00015000304",8.9246181732505,0.00129046484438555,-0.452821560146738
"ENSNFUG00015000306",6.28439316428532,-3.79435723148571e-05,-0.110697869362842
"ENSNFUG00015000309",5.99406012286304,-0.00466593715712993,0.456695523016124
"ENSNFUG00015000310",10.2015052053791,-1.44312064488867e-05,-0.394741069050301
"ENSNFUG00015000320",4.31382427079482,-0.00243015609327829,-0.554907934023564
"ENSNFUG00015000330",10.3577930059269,0.000507024272750592,-0.149826694866321
"ENSNFUG00015000338",4.60526801906991,7.29315515504154e-05,-0.0617765859759222
"ENSNFUG00015000351",9.66096432986557,-0.000273773604054695,-0.164026001305685
"ENSNFUG00015000352",8.04557212735418,-0.0010379315176975,0.760019847380943
"ENSNFUG00015000353",-1.78599956803503,-0.00421183253380187,0.498314871114575
"ENSNFUG00015000357",-1.01584892415769,0.00273231862056361,0.193035085556852
"ENSNFUG00015000358",-1.47746176182238,0.0167542542964692,-2.35576410909016
"ENSNFUG00015000361",10.9987226387574,-0.000669413183825774,0.106484378346041
"ENSNFUG00015000364",0.955235987579971,-0.00425467040836529,0.0667932388125847
"ENSNFUG00015000368",8.30664192169477,0.00147111327316004,-0.618463496728671
"ENSNFUG00015000375",-0.0817793805568856,-0.00562345970249158,1.8171392468017
"ENSNFUG00015000378",-1.80919667320546,-0.00242592095566455,-0.412579007208339
"ENSNFUG00015000380",0.145933060907039,-0.00437524624991777,-0.183686798459662
"ENSNFUG00015000382",9.25414850046234,-0.000427219358470821,0.233208328969043
"ENSNFUG00015000387",8.17425798324978,0.000576328950059557,-0.111397355750065
"ENSNFUG00015000388",3.86892458554473,-0.0025089415154794,0.458794069703273
"ENSNFUG00015000392",5.31825668237544,-0.00474234565304754,3.17443027950392
"ENSNFUG00015000397",8.27445911838582,7.40185350792395e-05,0.191621023802495
"ENSNFUG00015000398",9.11242930904983,0.00175557897660966,-0.206519924140784
"ENSNFUG00015000424",8.88693122977059,0.000889556072834214,-0.162334439524543
"ENSNFUG00015000428",10.8335891052121,0.00213758043414018,-0.186772697148239
"ENSNFUG00015000443",10.8614964820183,-6.78270979677241e-05,0.988926919936598
"ENSNFUG00015000453",6.36339947949001,0.00048105009234602,-0.223110999318678
"ENSNFUG00015000459",5.78794935906206,0.00293434746371797,-0.469275509351996
"ENSNFUG00015000463",8.80118796718979,0.000691627391473627,-0.256982847518075
"ENSNFUG00015000467",9.39405310002134,0.00203592105017114,-0.758007422137326
"ENSNFUG00015000475",7.94562133204661,-0.00237065382993565,0.86201541927815
"ENSNFUG00015000479",7.66254117263553,0.000791893183830218,-0.647588454494484
"ENSNFUG00015000482",8.99744845596999,0.000739111992959045,0.0877867780415886
"ENSNFUG00015000486",8.0970553092551,-0.000165374888488486,-0.262287775474072
"ENSNFUG00015000494",8.60953613791826,-0.000302824222929122,0.206442750705931
"ENSNFUG00015000508",10.5201815807406,-0.00187140760685963,0.414596029887751
"ENSNFUG00015000514",3.82697931563758,0.000237210957134374,0.0897787408980844
"ENSNFUG00015000524",-0.643828521997242,-0.017621336855825,2.74297170897061
