,index,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_Name
0,3083,ENSNFUG00015019467,4845.54802856997,-0.142605155338098,0.296955484166165,-0.480224016534077,0.631068111267975,0.787500936178605,ANXA4
1,3222,ENSNFUG00015021900,341.159405708938,1.6035614819436,4.45321114130785,0.360091051391885,0.718779044517927,0.845029824429977,FGG
2,5272,ENSNFUG00015003471,536.201842495568,1.47723425370009,4.4500553823255,0.331958622260589,0.739920503606592,0.859542437867505,FGB
3,7626,ENSNFUG00015001249,76.0366921181312,1.19706264477803,0.355920381703985,3.36328770790546,0.0007702004879305,0.0064986227867279,VTN
4,10764,ENSNFUG00015005492,40.2630235493744,4.67783469517417,1.34814797891806,3.46982287428737,0.0005208016910396,0.0047790825227259,C8B
5,10916,ENSNFUG00015007755,2549.62198755958,1.37212561201037,0.436033178270443,3.14683762701958,0.0016504658880627,0.0115532612164395,APOD
6,13926,ENSNFUG00015011347,485.589562558981,1.31093648954892,4.47266735910625,0.293099482768349,0.769446112110386,0.877396683663299,INS
7,14793,ENSNFUG00015008847,378.199399526949,-0.199220577114404,0.154369231810823,-1.2905458864921,0.196861190584352,0.384211408668138,CPN1
8,16804,ENSNFUG00015008403,321.900493553533,0.242757640471809,0.539294817061953,0.450139020052776,0.652610202756888,0.802509672263771,F5
9,20792,ENSNFUG00015019151,1886.36065601755,-0.159953407218983,0.234140099250557,-0.683152555802988,0.494510448678566,0.686510633763224,ANXA1
10,22522,ENSNFUG00015018768,310.279618867657,5.77892967505669,1.7005646091144,3.39824176281439,0.0006782045736351,0.0058684849684357,AHSG
