,index,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_Name
0,3083,ENSNFUG00015019467,4845.54802856997,-0.320640133692245,0.212544594410205,-1.50857816253571,0.131406618238075,0.2822077293649,ANXA4
1,3222,ENSNFUG00015021900,341.159405708938,4.12218475907379,1.15343988182634,3.57381847465409,0.0003518128735759,0.0030141916476187,FGG
2,5272,ENSNFUG00015003471,536.201842495568,4.02299858641328,1.15836659426398,3.4729925796673,0.000514689585053,0.0040706122251345,FGB
3,7626,ENSNFUG00015001249,76.0366921181312,0.768617417414743,0.276891251911878,2.77588191070536,0.0055052200032177,0.0262928324921537,VTN
4,10764,ENSNFUG00015005492,40.2630235493744,3.79362636873551,0.963985478242339,3.93535634546335,8.30733430325413e-05,0.0009556684579533,C8B
5,10916,ENSNFUG00015007755,2549.62198755958,1.65618695579943,0.316192830197516,5.23790167779852,1.62412541953268e-07,7.52972000575771e-06,APOD
6,13926,ENSNFUG00015011347,117.223272321344,-0.770674618387541,1.64330469377215,-0.468978529245533,,,INS
7,14793,ENSNFUG00015008847,378.199399526949,-0.028755642203704,0.117862654030652,-0.243975858512618,0.807249517148888,0.895756948862052,CPN1
8,16804,ENSNFUG00015008403,321.900493553533,0.219580602613448,0.37996705061554,0.577893799627444,0.563335821685189,0.731666430476915,F5
9,20792,ENSNFUG00015019151,1886.36065601755,0.0667984647701822,0.175501650509151,0.380614453347828,0.70348935493825,0.833148098622696,ANXA1
10,22522,ENSNFUG00015018768,310.279618867657,5.08867269377445,1.21685789851476,4.1818134229029,,,AHSG
