,index,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_Name
0,2207,ENSNFUG00015003795,87.506134317212,-0.181783418154803,0.183711312939419,-0.989505846135609,0.322415710974534,0.51808756004965,IL6R
1,3358,ENSNFUG00015000538,19.6680051481485,-0.612174484951434,0.365722691612979,-1.67387613344829,0.094154945633688,0.223220706951163,IL22RA1
2,4809,ENSNFUG00015000879,6.37403931661829,1.03148489754951,0.47267792438235,2.18221508630291,0.0290936623986036,0.0941279938379059,TGFB3
3,6239,ENSNFUG00015001596,0.697322676856754,-0.634860884560737,1.69413232380927,-0.37474102562027,0.707853077889574,,IL11
4,8353,ENSNFUG00015011121,387.053542436019,0.0966602054273396,0.0855033267593605,1.13048473189095,0.25827202840526,0.447702644428643,TGFB1
5,8882,ENSNFUG00015003470,82.0045578107984,-1.68630352779338,0.304516460447416,-5.53764326997545,3.06568887180837e-08,1.95397793901705e-06,IL18R1
6,11395,ENSNFUG00015015354,10.495330576398,-1.01998496065159,0.597195316876721,-1.70795873950589,0.0876439986886793,0.211714200804455,TNF
7,11599,ENSNFUG00015020257,2.82732970274718,-0.978810578965486,0.765767875242051,-1.27820794082815,0.201176116978768,0.378608713750876,IL22RA1
8,13096,ENSNFUG00015020266,4.03307928281722,-0.477141886727933,0.642664696222761,-0.742442971478468,0.457818992149593,0.645018328247239,IL10
9,16839,ENSNFUG00015009023,29.4761190160937,-1.7958493896306,0.425813087131864,-4.21745935928565,2.47070331634709e-05,0.0003582276149599,IL1R2
10,20431,ENSNFUG00015009884,212.049664229673,0.279214506113092,0.206669845801449,1.35101715022973,0.176689938959832,0.346359397678327,IL6R
11,20507,ENSNFUG00015012860,357.980645435403,0.0982969124434386,0.153437714130727,0.640630714556207,0.521762639156933,0.698969231036802,IL6R
12,21314,ENSNFUG00015015040,298.963018668563,-0.295141948633312,0.111237260684711,-2.65326516327885,0.0079717219631958,0.0351460184834784,TGFBR2
13,22518,ENSNFUG00015018588,3.54374500269721,-0.913515621382069,0.650863687743349,-1.40354368907778,0.160454773495697,0.324693440989228,LTA
14,23080,ENSNFUG00015019724,3.06749010871486,-0.251213072378164,0.680952374071999,-0.368914305821339,0.712191599824658,0.838404530695482,IL17D
15,23089,ENSNFUG00015022267,209.432529966608,0.225435527422784,0.110107118997304,2.04742008941587,0.0406168555477527,0.120714357889964,IL6R
16,23108,ENSNFUG00015014619,2.27623537488683,0.126300952974917,0.8429628754922,0.14982979280217,0.880898903416152,0.936225113626813,IFNG
