,index,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_Name
0,3083,ENSNFUG00015019467,4845.54802856997,-0.232701476354817,0.303642513591984,-0.766366585502276,0.443458209089761,0.646053902397029,ANXA4
1,3222,ENSNFUG00015021900,341.159405708938,5.53167350531973,1.53334379869266,3.60758853300615,0.0003090560971251,0.004335676414301,FGG
2,5272,ENSNFUG00015003471,536.201842495568,5.24343601818556,1.56139265434475,3.35817899718889,0.0007845778926007,0.0083708572800721,FGB
3,7626,ENSNFUG00015001249,76.0366921181312,1.28458361472105,0.334789545568155,3.83698843564857,0.0001245523349114,0.0023488504165259,VTN
4,10764,ENSNFUG00015005492,40.2630235493744,5.05660230114496,1.26523957296668,3.99655718109453,6.42703626769545e-05,0.0015122218474048,C8B
5,10916,ENSNFUG00015007755,2549.62198755958,1.46732504894112,0.446304453798763,3.28772217362349,0.0010100145918636,0.0100777343522488,APOD
6,13926,ENSNFUG00015011347,485.589562558981,1.01075185404451,4.45877071036496,0.226688457357741,0.820666003182129,0.907292606370015,INS
7,14793,ENSNFUG00015008847,378.199399526949,-0.159958605104155,0.164214270726048,-0.974084678493057,0.330014496301573,0.542427958128627,CPN1
8,16804,ENSNFUG00015008403,321.900493553533,0.523196610807405,0.525983644986831,0.994701291178937,0.319881566302311,0.532171626582855,F5
9,20792,ENSNFUG00015019151,1886.36065601755,-0.0737338755561914,0.24648362735846,-0.299143096628324,0.764830864573278,0.877145349390177,ANXA1
10,22522,ENSNFUG00015018768,310.279618867657,6.34526734748147,1.62910823345097,3.8949329560751,9.82258947891174e-05,0.0020088138277768,AHSG
