	Q	D	ID
0	0.0	2076.0	ABX.16wk.1
1	0.05	53.43298819407821	ABX.16wk.1
2	0.1	32.0593316901771	ABX.16wk.1
3	0.15000000000000002	20.07016787708214	ABX.16wk.1
4	0.2	13.096953124702884	ABX.16wk.1
5	0.25	8.898436909454393	ABX.16wk.1
6	0.30000000000000004	6.2864631592260185	ABX.16wk.1
7	0.35000000000000003	4.610970333708156	ABX.16wk.1
8	0.4	3.5053694037938152	ABX.16wk.1
9	0.45	2.7568596847802653	ABX.16wk.1
10	0.5	2.2384606689873525	ABX.16wk.1
11	0.55	1.872396313160413	ABX.16wk.1
12	0.6000000000000001	1.6098425219333312	ABX.16wk.1
13	0.65	1.4194393594964594	ABX.16wk.1
14	0.7000000000000001	1.2806164531032809	ABX.16wk.1
15	0.75	1.1796255034151928	ABX.16wk.1
16	0.8	1.1071306167095305	ABX.16wk.1
17	0.8500000000000001	1.0567149823630815	ABX.16wk.1
18	0.9	1.023938074161684	ABX.16wk.1
19	0.9500000000000001	1.0057304700029832	ABX.16wk.1
20	1.0	1.0	ABX.16wk.1
21	0.0	2076.0	ABX.16wk.2
22	0.05	23.729268703234904	ABX.16wk.2
23	0.1	14.689773788973833	ABX.16wk.2
24	0.15000000000000002	9.492772725725786	ABX.16wk.2
25	0.2	6.405550650856263	ABX.16wk.2
26	0.25	4.514369732792267	ABX.16wk.2
27	0.30000000000000004	3.3227117379808453	ABX.16wk.2
28	0.35000000000000003	2.5527915016641636	ABX.16wk.2
29	0.4	2.0447002910008227	ABX.16wk.2
30	0.45	1.7037447919677977	ABX.16wk.2
31	0.5	1.4722287030139185	ABX.16wk.2
32	0.55	1.3139659565218096	ABX.16wk.2
33	0.6000000000000001	1.2055998094832665	ABX.16wk.2
34	0.65	1.1316451220156596	ABX.16wk.2
35	0.7000000000000001	1.0816025419877595	ABX.16wk.2
36	0.75	1.0482372333798617	ABX.16wk.2
37	0.8	1.0265170994086577	ABX.16wk.2
38	0.8500000000000001	1.0129303039596629	ABX.16wk.2
39	0.9	1.0050283253002112	ABX.16wk.2
40	0.9500000000000001	1.0011101626024705	ABX.16wk.2
41	1.0	1.0	ABX.16wk.2
42	0.0	2076.0	ABX.16wk.3
43	0.05	64.29404212220494	ABX.16wk.3
44	0.1	38.49145504304501	ABX.16wk.3
45	0.15000000000000002	24.0054971556778	ABX.16wk.3
46	0.2	15.577133057299422	ABX.16wk.3
47	0.25	10.50361472730965	ABX.16wk.3
48	0.30000000000000004	7.349804357790553	ABX.16wk.3
49	0.35000000000000003	5.3294042186370705	ABX.16wk.3
50	0.4	3.99851179755685	ABX.16wk.3
51	0.45	3.0992682097181885	ABX.16wk.3
52	0.5	2.4777729322285866	ABX.16wk.3
53	0.55	2.039791756712301	ABX.16wk.3
54	0.6000000000000001	1.726222771969455	ABX.16wk.3
55	0.65	1.4991622717411353	ABX.16wk.3
56	0.7000000000000001	1.3338000319920926	ABX.16wk.3
57	0.75	1.2135973854675837	ABX.16wk.3
58	0.8	1.1273564878899258	ABX.16wk.3
59	0.8500000000000001	1.067403093284842	ABX.16wk.3
60	0.9	1.0284388535112032	ABX.16wk.3
61	0.9500000000000001	1.0068044622517183	ABX.16wk.3
62	1.0	1.0	ABX.16wk.3
63	0.0	2076.0	ABX.16wk.4
64	0.05	78.28279303794002	ABX.16wk.4
65	0.1	44.886202361724024	ABX.16wk.4
66	0.15000000000000002	26.938033144381766	ABX.16wk.4
67	0.2	16.906134995173673	ABX.16wk.4
68	0.25	11.08361551218446	ABX.16wk.4
69	0.30000000000000004	7.580743210687063	ABX.16wk.4
70	0.35000000000000003	5.400848738064771	ABX.16wk.4
71	0.4	4.000811120159308	ABX.16wk.4
72	0.45	3.0752501941037	ABX.16wk.4
73	0.5	2.4472549349382247	ABX.16wk.4
74	0.55	2.011394584746446	ABX.16wk.4
75	0.6000000000000001	1.7031413991130666	ABX.16wk.4
76	0.65	1.482012582423134	ABX.16wk.4
77	0.7000000000000001	1.3220317683093594	ABX.16wk.4
78	0.75	1.2061973054488997	ABX.16wk.4
79	0.8	1.1231987571899453	ABX.16wk.4
80	0.8500000000000001	1.0654253050170328	ABX.16wk.4
81	0.9	1.027733975138233	ABX.16wk.4
82	0.9500000000000001	1.00667516955066	ABX.16wk.4
83	1.0	1.0	ABX.16wk.4
84	0.0	2076.0	ABX.16wk.5
85	0.05	44.51308974282808	ABX.16wk.5
86	0.1	26.85320502349086	ABX.16wk.5
87	0.15000000000000002	16.897551433031705	ABX.16wk.5
88	0.2	11.085020789092761	ABX.16wk.5
89	0.25	7.57596469347404	ABX.16wk.5
90	0.30000000000000004	5.389462883465554	ABX.16wk.5
91	0.35000000000000003	3.9862509630411975	ABX.16wk.5
92	0.4	3.061013169673628	ABX.16wk.5
93	0.45	2.4359287202616122	ABX.16wk.5
94	0.5	2.0045814099893797	ABX.16wk.5
95	0.55	1.7016091427072413	ABX.16wk.5
96	0.6000000000000001	1.4858580029323583	ABX.16wk.5
97	0.65	1.330802328566921	ABX.16wk.5
98	0.7000000000000001	1.2189694020459076	ABX.16wk.5
99	0.75	1.138622045629851	ABX.16wk.5
100	0.8	1.08174173172277	ABX.16wk.5
101	0.8500000000000001	1.0427759868561672	ABX.16wk.5
102	0.9	1.0178437977457264	ABX.16wk.5
103	0.9500000000000001	1.0042209429771727	ABX.16wk.5
104	1.0	1.0	ABX.16wk.5
105	0.0	2076.0	ABX.16wk.6
106	0.05	73.41989356406702	ABX.16wk.6
107	0.1	41.56249217612991	ABX.16wk.6
