"","WT.16wk.7","WT.16wk.6","WT.16wk.2","YI.6wk.4","YI.6wk.2","YI.6wk.3","YI.6wk.1"
"ENSG00000150625",4.64098933552926,4.63811317995885,4.66228384881319,4.09396006411578,6.32393200185792,4.52642243314008,6.24891214464146
"ENSG00000150630",3.69768323292651,3.64065863050134,4.66228384881319,4.96087649867421,4.18242575728057,4.46228619148685,4.40348544622886
"ENSG00000150637",6.92777541142012,6.53572028829572,6.38702946082561,5.86476459818562,5.71341911585021,5.61763924230023,5.68392053151267
"ENSG00000150672",1.58297223428682,1.9516181869,1.55861541060396,2.81327322391151,3.39663485975153,3.4621503874464,2.72265992495688
"ENSG00000150687",9.29851450250515,9.77911676769839,8.96319018715935,8.97555537832442,8.71556621878643,8.85160682455046,8.66314551393464
"ENSG00000150722",5.12638199914535,5.18479621481961,6.00530061417085,4.65048305910629,4.74065603569035,4.90978138070996,4.68054396760581
"ENSG00000150753",11.2783652858501,11.4503532132057,11.4263873951732,11.0512931884065,11.2527263685905,11.1710343340838,11.2025726786085
"ENSG00000150756",5.87970728813507,6.14547331975452,6.06940444432954,5.81413428470864,5.95422900867325,5.83582796912591,5.71501918312833
"ENSG00000150760",10.7017836003433,10.5125957671593,10.6041780532765,10.4247498107599,10.4959194596113,10.6807081820191,10.4420520875881
"ENSG00000150764",7.11597614970099,7.41930995311765,7.15039695396731,7.80777135075946,8.24840547995048,7.66118705833272,8.09973330681374
"ENSG00000150768",9.54391202634653,9.64083536722623,9.25498155180686,9.30151211352457,9.29282211871294,9.20510911616845,9.3383851299029
"ENSG00000150773",0,2.27026239936076,1.55861541060396,5.83967153421739,7.423017599683,4.09027747306205,7.31238397328289
"ENSG00000150779",7.49687597346779,7.75559606119532,7.34424202278552,7.16672551261289,7.06056005239383,7.2221388356581,7.0450580257051
"ENSG00000150787",8.16193091287125,8.49372022884621,8.40335587008871,7.95524168279829,7.69928016891652,7.84218110731118,7.52033517961701
"ENSG00000150867",10.0563608323997,10.183105594787,10.161229510263,10.0320352833623,10.4475039281233,10.4787216972726,10.3803430414865
"ENSG00000150893",7.86121254494506,8.02812369975001,8.22252266665097,8.22119826534856,8.49701171492806,8.40386096229446,8.47157794238836
"ENSG00000150907",7.47276379571918,7.5648152313305,7.17002203551966,7.26424516586776,7.01875476999529,7.37801179975747,7.11667481157881
"ENSG00000150961",10.6272825809356,10.4878367883571,10.1327590955042,10.8887773878945,10.7565634771529,10.3583391801741,10.8164760892035
"ENSG00000150967",6.5969572314619,6.83049879228393,5.54609760044664,7.14640484519251,6.9086132217051,6.23176922382584,7.00787077794779
"ENSG00000150977",8.25441118211922,8.3865242039201,8.21781609243994,7.8523624415754,8.06544924492914,7.96298029906928,7.97682037787186
"ENSG00000150995",9.60988588509893,9.65630132119124,9.88959639943705,9.77838392033348,10.1427186605894,10.0744499503911,10.01374639234
"ENSG00000151005",12.5390786133203,12.3845419915026,12.1113220944909,11.8998227423893,11.9321960630835,11.8123557395838,11.9388818239942
"ENSG00000151014",7.39791069543656,7.47463903897903,7.48407741937282,7.23567511353227,7.45471789682633,7.3248997884549,7.3623463006377
"ENSG00000151023",2.99738721180757,2.53110339020084,1.9703254327758,7.2829823091837,8.56757336570981,5.49477707519689,8.51640067423008
"ENSG00000151025",6.68354312116541,6.32823068683337,6.7420223231629,6.67926016151031,6.69960536785569,6.88560809742459,6.74707657832226
