"","Intercept","age_young_vs_old","Q0.00"
"ENSNFUG00015000040",2.33193544873925,0.906264337969304,-0.00783845268633309
"ENSNFUG00015000041",4.60448794565552,-0.0550192146848378,-0.000223624006623798
"ENSNFUG00015000042",8.84076867216396,-0.198814117025585,0.000288398408362894
"ENSNFUG00015000043",10.7445956315408,-0.020610579032964,-0.00129019146253586
"ENSNFUG00015000044",6.84765371030582,0.55868697604009,-0.000998958253096435
"ENSNFUG00015000045",8.10261696949207,-0.515807336049693,0.000270829312241988
"ENSNFUG00015000046",3.50215065666048,0.380581352862036,-0.000845025708877669
"ENSNFUG00015000047",8.63586907701611,0.0653511371352719,1.81024107432753e-05
"ENSNFUG00015000048",6.85302250030775,-0.140053810374927,-5.68010147502907e-05
"ENSNFUG00015000049",9.46956671079118,-0.335602907371274,-9.58561042317882e-05
"ENSNFUG00015000050",8.07521022218593,-0.0975625232976169,-7.45769523494103e-05
"ENSNFUG00015000051",9.18936287050001,-0.200226278347274,-0.000459365639148581
"ENSNFUG00015000052",7.55589904658709,-0.602460087391603,0.000225635106015395
"ENSNFUG00015000053",1.94615406877892,-0.433188386163313,0.00163493475883866
"ENSNFUG00015000054",8.53699873226723,0.276982032688294,0.00017970886030829
"ENSNFUG00015000055",5.02123897857582,0.599534518548194,0.000383092880536261
"ENSNFUG00015000056",2.75090337952082,0.58110801581069,-0.000484540789484162
"ENSNFUG00015000058",9.59288545305585,-0.00709552282764172,-8.62452601191493e-05
"ENSNFUG00015000063",6.61407352814295,0.0263660581617971,-0.00041599666698244
"ENSNFUG00015000126",8.97082665422655,-0.0625047287621,9.89853258658824e-05
"ENSNFUG00015000127",8.2250460896771,0.580237551854417,0.000291365033651571
"ENSNFUG00015000133",4.8883158065804,-0.0318607187838061,0.000856879212195962
"ENSNFUG00015000165",-0.815009068929015,2.19787461113432,-0.00290981757438447
"ENSNFUG00015000166",6.2629259390446,2.98013280926186,-0.00525019825322034
"ENSNFUG00015000167",-1.74720979565456,-3.99257605278023,0.00985349370746794
"ENSNFUG00015000168",5.78709741922179,-1.03544348746952,0.000169615779330448
"ENSNFUG00015000176",7.02208828338803,-0.0514118385400728,0.00012835825275806
"ENSNFUG00015000179",7.61037182770178,0.340044538596901,-0.000140316548512139
"ENSNFUG00015000180",8.78915169024324,2.2312555011233,-0.00353030788203864
"ENSNFUG00015000184",6.71384488543779,2.80750426546141,-0.00263817660352156
"ENSNFUG00015000189",2.44628078344447,1.03660433884197,-0.000784994425337128
"ENSNFUG00015000192",-0.142395014327356,1.52722558609455,-0.00306060050587499
"ENSNFUG00015000196",8.30398955082966,2.0485070392046,-0.0044985122583728
"ENSNFUG00015000197",7.46374417135999,-0.524059911234791,0.000401710411529358
"ENSNFUG00015000201",1.20785808848458,-0.350797826199882,0.00160119855653052
"ENSNFUG00015000204",7.1401509190199,0.381202873167836,-0.000911055460318023
"ENSNFUG00015000207",8.63914350560339,2.43415357534276,-0.00448829421720629
"ENSNFUG00015000208",9.27255641382888,-0.448380337549451,0.000269877578734582
"ENSNFUG00015000209",9.95343735517165,-0.244658180421816,6.10215678860138e-05
"ENSNFUG00015000213",12.8749112874388,-0.417482074352522,0.00052068480166357
"ENSNFUG00015000214",9.22654428211954,1.5554445680943,-0.0016776967003719
"ENSNFUG00015000218",6.79977238113012,2.38536382829872,-0.00294167646754094
"ENSNFUG00015000221",9.08286274330097,2.69752495843958,-0.0047970595719394
"ENSNFUG00015000228",3.7045722176577,3.58514859774283,-0.00680703262981279
"ENSNFUG00015000230",6.989352079421,0.0309759111292664,-0.000194346598298091
"ENSNFUG00015000231",5.60582046067897,1.00422425653478,0.000308197471110393
"ENSNFUG00015000246",5.85412123778963,0.0755547998189308,0.000245050350761561
"ENSNFUG00015000247",8.23749249665324,-0.324936963407637,5.74206775646217e-05
"ENSNFUG00015000251",2.03142905737147,0.717535865048644,-0.000358812189564199
"ENSNFUG00015000260",4.59584743337132,-0.360536729120704,0.00101402854513326
"ENSNFUG00015000263",2.78820820294078,1.68986943671386,-0.00236439406839078
"ENSNFUG00015000268",4.23234566819823,1.87769975009427,-0.00232294560833573
"ENSNFUG00015000269",12.9674560536692,-0.690307480219445,0.000106871805783296
"ENSNFUG00015000273",3.49188283059585,0.566783550244973,-0.000130637170673098
"ENSNFUG00015000278",5.79440701952303,0.378087676509376,-0.000717082227983521
"ENSNFUG00015000282",1.3524679214647,-0.118426628208049,0.00138273954710759
"ENSNFUG00015000291",4.13418575876233,3.81865774319212,-0.00273501691306239
"ENSNFUG00015000294",3.59209525283249,-0.491996007542427,0.00299151491427441
"ENSNFUG00015000299",6.84052483083577,-0.670350181780624,0.00100916650838055
"ENSNFUG00015000302",-0.258591840675569,0.38549306305017,-0.00161428929655723
"ENSNFUG00015000304",8.90442318813088,-0.270752942357632,0.000200007276459839
"ENSNFUG00015000306",6.29908594407971,-0.0551281759458946,-0.000131354392969696
"ENSNFUG00015000309",6.16402376914903,0.376478140582096,-0.00146802406978604
"ENSNFUG00015000310",10.2943108399117,-0.120887998412611,-0.000652602309687346
"ENSNFUG00015000320",4.22986749897538,-0.954088408965196,0.000267513317936219
"ENSNFUG00015000330",10.3703349560785,-0.0320876560151245,-7.44671801545192e-05
"ENSNFUG00015000338",4.5857017289285,-0.141696206327911,9.1580746570705e-05
"ENSNFUG00015000351",9.6822474369601,-0.107335020326867,-0.000193111008023251
"ENSNFUG00015000352",7.89058475646124,0.119540084800116,0.000814859307697379
"ENSNFUG00015000353",-2.31975719530697,-0.590204099811808,0.00284327876554809
"ENSNFUG00015000357",-1.01115307515971,0.850745344609663,0.000194118192951158
"ENSNFUG00015000358",-2.65514819251105,-2.70271223761491,0.00766429772398612
"ENSNFUG00015000361",11.0462463626736,0.181255857430163,-0.000390822913387171
"ENSNFUG00015000364",1.44843911736382,1.05633008406715,-0.00393811838344293
"ENSNFUG00015000368",8.30804861902043,-0.348320536910813,7.44409419441055e-05
"ENSNFUG00015000375",0.503658081654298,2.44078255899907,-0.00438433120314084
"ENSNFUG00015000378",-1.53332044289734,-0.0185367499040755,-0.00198640876972884
"ENSNFUG00015000380",0.0786878767600405,-0.703391300790191,-3.4525354797414e-05
"ENSNFUG00015000382",9.24367086891463,0.166661000259484,-5.23367406576456e-06
"ENSNFUG00015000387",8.11896096826117,-0.130077968303338,0.000358607319262305
"ENSNFUG00015000388",3.89254465702298,0.172016491807121,-0.000391126611340803
"ENSNFUG00015000392",5.57202271887983,3.40646257700079,-0.00198318008509205
"ENSNFUG00015000397",8.25661896349403,0.235232284060827,8.12883759945309e-05
"ENSNFUG00015000398",8.9632355872947,-0.288991732990121,0.00103136026906791
"ENSNFUG00015000424",8.87773607951208,-0.0388515864853069,9.49513613378231e-05
"ENSNFUG00015000428",10.7170969775021,-0.181497884066995,0.000871187516435661
"ENSNFUG00015000443",10.7411630046327,0.688248327694341,0.000687467210873939
"ENSNFUG00015000453",6.31561322768917,-0.211639702824439,0.000300505346537183
"ENSNFUG00015000459",5.7222426819889,-0.0965520077918005,0.000614556886285991
"ENSNFUG00015000463",8.73238056909985,-0.344184448497572,0.000451732861137902
"ENSNFUG00015000467",9.33069965770076,-0.677407811170948,0.000536612942472809
"ENSNFUG00015000475",8.01333136383997,0.76745364866963,-0.000661479237766122
"ENSNFUG00015000479",7.5705086861025,-0.842881586458105,0.000607712197310611
"ENSNFUG00015000482",8.96735583331934,0.129344849747812,0.000213929240345509
"ENSNFUG00015000486",8.07710158022358,-0.360385004056933,7.88741289167551e-05
"ENSNFUG00015000494",8.62609729194199,0.267516446696784,-0.000164974753447744
"ENSNFUG00015000508",10.4213391452283,-0.237119971612841,0.000425617569518054
"ENSNFUG00015000514",3.85261445654908,0.119915251958301,-0.000165708232675066
"ENSNFUG00015000524",0.366570153830031,3.23277484186316,-0.00696681741781643
"ENSNFUG00015000527",6.10518437505931,1.29042718208753,-0.000775916118526948
"ENSNFUG00015000537",-1.32968336849831,1.36212321464853,-0.00327849813615631
"ENSNFUG00015000544",0.190147601529865,1.6933320433022,-0.0039512994971566
"ENSNFUG00015000551",0.795710693452307,0.450879756533319,-0.000206252048911923
"ENSNFUG00015000556",2.82464294395801,-0.122230373945217,0.00123489237708141
"ENSNFUG00015000567",0.575392265899748,1.254349036838,-0.00113568454170329
"ENSNFUG00015000569",4.5352914310968,0.976383841911468,-7.01540618278301e-05
"ENSNFUG00015000575",-2.09761935435606,1.51086343996386,-0.000236646224842488
"ENSNFUG00015000582",1.6319650680746,-0.332779892538388,0.00157387167870864
"ENSNFUG00015000584",8.52588106312632,0.382131736879676,-0.000266542969228033
"ENSNFUG00015000586",7.77119714489913,0.805314381111822,-0.000970220639652058
"ENSNFUG00015000600",6.98959278400787,-0.148315449799858,0.000438132700009685
"ENSNFUG00015000605",3.21111117338536,2.78327209682561,-0.00199579542825291
"ENSNFUG00015000612",8.71782144767369,0.927502119311493,-0.00105447410901139
"ENSNFUG00015000615",8.17456973909769,0.756590369241412,0.00053085362599032
"ENSNFUG00015000622",6.08348245497995,-0.0712218021619931,0.000745092816536121
"ENSNFUG00015000627",-1.53332044289734,-0.0185367499040755,-0.00198640876972884
"ENSNFUG00015000629",8.72390832140452,-0.203278153454176,0.00100075470633945
