,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,HGNC
1041,ENSNFUG00015007912,406.605003496742,0.0015223158637249,0.0006771631769728,2.24807832955444,0.0245711956366892,0.367487804306722,BTK
2165,ENSNFUG00015003624,155.46894295547,0.0012872780102172,0.0006136866825119,2.09761438027005,0.0359392237426098,0.421776307921698,SYK
2959,ENSNFUG00015017305,349.523204286157,0.0013839616847399,0.0005503326709982,2.51477289587333,0.0119109081776401,0.262930007263925,PRKCB
6481,ENSNFUG00015003253,54.816092032996,0.0058044518012414,0.0008206361501065,7.07311248777902,1.51496580679428e-12,3.5697644294095903e-09,CD79A
6775,ENSNFUG00015005432,244.664546413256,0.0013992556927955,0.0006097969582043,2.29462556998616,0.0217545915939314,0.345839298300227,RFTN1
7179,ENSNFUG00015012537,21.777740993389,0.0104758762937981,0.0022409182027494,4.67481422612617,2.94219829692288e-06,0.0011999076785162,CD22
8963,ENSNFUG00015004324,670.417082686662,0.0010969551593825,0.0003659134509124,2.99785415553109,0.0027188775162916,0.128417005541198,CD81
9890,ENSNFUG00015007754,26.0156226341285,0.0091112723596445,0.0016816106969785,5.41818173255885,6.02082006700448e-08,4.40288038486083e-05,PAX5
12447,ENSNFUG00015009559,29.9775956450379,0.0024529057079794,0.0008384958884185,2.92536402606079,0.003440534959649,0.147400858362178,RUNX1
16649,ENSNFUG00015006303,3578.48119571483,0.0011933244502603,0.0005054026049999,2.3611363266725,0.0182190317289549,0.317478229972018,SLC39A10
20844,ENSNFUG00015020367,133.570424497201,0.0019274763616163,0.0005212957639782,3.69747175174931,0.0002177574422867,0.0262696925273188,MEF2C
24521,ENSNFUG00015014834,162.734710186906,0.0095620660853324,0.0032478993821401,2.94407706652287,0.0032391932959489,0.141636231396268,IGHM
