,Unnamed: 0,YM.16wk.8,YM.16wk.3,YM.16wk.4,YM.16wk.1,SM.16wk.6,SM.16wk.5,SM.16wk.2,WT.16wk.7,WT.16wk.6,WT.16wk.2,YI.6wk.4,YI.6wk.1,YI.6wk.3,YI.6wk.2,HGNC
714,ENSNFUG00015003689,70.9323138360637,70.2874676022035,78.7555341443869,90.3283005753717,78.3063659100785,71.9017300237972,78.97080812806,55.076397228037,58.6422282247725,104.381305318287,46.9124630905307,52.967435292973,61.4676004379595,73.8834623008617,HGF
1526,ENSNFUG00015023667,204.657167789298,275.167958272456,265.435318782934,283.090756442402,148.417879573753,198.896993442452,163.74829332436,195.101135943385,236.37328915216,226.008217602204,139.799140009781,133.765217943271,214.205274253495,141.434056404507,TLR6
2165,ENSNFUG00015003624,163.958299194836,207.871446738432,170.150845373675,173.206844402259,160.254888374114,176.486064603866,205.556368215686,155.894209103088,152.469793384409,127.072893430958,76.9364394684704,110.42363628874,184.402801313879,111.880671484162,SYK
2795,ENSNFUG00015010834,156.981350292928,112.160852556708,132.231514118971,165.757087653775,119.280627142096,110.187066789715,191.62034325191,119.487777037097,173.220120294713,121.626912283917,94.763175442872,129.276452240476,149.943691977447,138.267622305898,F2RL1
3470,ENSNFUG00015001797,767.464379209869,1182.92312496474,942.149538097666,782.224458590848,669.246266789624,896.437153543445,658.477179538383,842.015428808294,766.859907554718,678.932316331118,373.423206200624,456.956348544462,624.920604452588,486.575373152818,TNFAIP3
6057,ENSNFUG00015000317,2723.33572137805,1894.77066919132,1722.89884572659,1602.62892051768,1683.58686706669,1974.02931519879,1458.63727954181,2120.90804240847,2132.77273112865,1874.32517810663,934.496264763372,1278.40047215582,1725.74944865968,1313.0146728896,PTPN6
6206,ENSNFUG00015001391,2133.78353916683,2069.74159917978,1855.13035984556,1636.15282588586,1315.72905511702,1824.62312294155,1466.76662743735,1860.46202839793,1917.14976888679,2240.11357848289,717.76068528512,674.212608559707,989.069570683531,607.955346932805,AGER
6289,ENSNFUG00015002243,341.870496193487,342.464469806481,311.132974397578,311.027344249218,200.318610467643,221.307922281038,239.235095211476,282.849972205003,279.678319225838,281.375692597121,111.651662155463,156.209046457242,213.273946974132,158.321704930418,AIF1
6372,ENSNFUG00015002703,8.13977371889255,40.3779069204148,19.4458108998486,15.8307330905291,9.10539138489285,9.33788701607755,16.2586957910712,14.0024738715348,20.7503269103041,11.799625818589,16.8884867125911,21.5460753734127,33.5277820570688,12.6657363944334,POU2F2
6575,ENSNFUG00015003865,24.4193211566777,35.8914728181465,26.2518447147956,29.7990269939371,22.7634784622321,34.5501819594869,25.5493791002547,25.2044529687627,26.1634556695139,24.5069151616848,29.085727116129,28.7281004978837,25.1458365428016,7.38834623008617,MBP
6776,ENSNFUG00015005451,65.1181897511404,97.2060722158134,72.9217908744323,84.7409830140085,50.0796526169107,65.3652091125429,75.4868018871162,62.5443832928555,46.913782579818,68.9824278625201,33.7769734251821,59.2517072768851,62.3989277173226,51.7184236106032,NOD2
7435,ENSNFUG00015022075,2315.18421061644,1311.53423589644,2155.56813824822,3547.01543187207,1817.43612042461,1430.56429086308,1306.50234035393,1399.31388889538,1760.16903486971,2504.24366411438,1520.90205339501,1440.89379059698,1832.85208578643,1405.89673978211,GBA
7961,ENSNFUG00015003845,298.845977965055,221.330749045237,192.513527908501,447.916624502617,173.912975451453,223.175499684254,217.169722352165,259.512515752445,211.112021609181,270.483730303039,106.96041584641,74.5135106663858,174.158201240885,86.5491986952951,C5AR1
8042,ENSNFUG00015004668,83.7233868228948,115.151808624887,95.2844734092582,153.651232937488,59.1850440018035,83.1071944430902,69.6801248188765,71.8793658738788,59.5444163513075,68.0747643380132,34.7152226869927,42.1943976062666,95.9267097743914,31.6643409860836,TIRAP
8597,ENSNFUG00015020892,95.3516349927413,103.187984352171,139.037547933918,136.889280253398,124.743861973032,121.392531209008,120.778883019386,112.019790972279,95.6319414127059,82.5973807301227,107.898665108221,110.42363628874,111.759273523563,93.9375449253813,ZC3H12A
8765,ENSNFUG00015001371,573.272634773433,711.847544226572,626.155110975126,497.271262961325,346.915411764418,412.734606110628,427.371432222442,747.732104739959,457.409380153226,518.275872493407,184.835104576691,297.156289524984,332.483838732599,275.479766578927,CYBA
9603,ENSNFUG00015020429,420.942583748443,432.193151851847,580.457455360481,881.864955101825,474.390891152917,477.166026521563,588.797054719506,359.396829369394,413.202161953012,427.509520042723,458.80388902539,523.390080945818,564.384331293992,533.016406599074,GAS6
13105,ENSNFUG00015020387,87.2118612738488,95.7105941817239,70.9772097844475,75.4287870784032,66.4693571097178,69.1003639189739,69.6801248188765,90.5493310359252,78.4903670085417,94.3970065487117,69.4304453739854,78.1045232286212,61.4676004379595,64.3841600050366,HYAL2
13585,ENSNFUG00015006396,86.0490364568641,118.142764693065,114.730284309107,65.1853715492373,56.4534265863357,70.9679413221894,68.5187894052285,77.4803554224927,45.1094063267481,59.9057926174516,24.394480807076,40.3988913251489,65.1929095554116,48.5519895119948,CARD9
14290,ENSNFUG00015020952,33.7219196925549,37.3869508522359,37.9193312547048,20.4868310583317,16.3897044928071,28.9474497498404,124.26288926033,16.8029686458418,11.7284456449545,13.6149528676026,1.87649852362123,16.1595565300596,18.6265455872605,15.8321704930418,IL37
14594,ENSNFUG00015005120,858.164714934672,889.809430283215,790.472213078846,964.743498928712,584.566126910121,792.786607664984,717.705285634428,866.286383518954,662.206084876662,652.61007412042,345.275728346306,398.602394408136,646.341131877938,384.194003964481,INPP5D
14912,ENSNFUG00015012246,186.051970717544,210.862402806611,188.624365728532,223.492702454528,161.165427512603,192.360472531198,180.006989115431,199.768627233897,212.014209735716,136.149528676026,209.229585383767,230.722557123628,302.681365792982,237.482557395627,AFAP1L2
16238,ENSNFUG00015021854,504.665970571338,500.985141419961,457.948846691435,475.853212309433,452.537951829175,531.325771214813,429.694103049738,513.424041956277,544.921628427117,422.971202420189,356.534719488033,377.056319034723,532.719203795649,393.693306260306,CSK
16843,ENSNFUG00015009237,63.9553649341558,86.7377259771873,89.4507301393036,62.3917127685557,32.7794089856143,41.0867028707412,55.7440998551012,42.9409198727068,30.6743963021887,59.9057926174516,28.1474778543184,34.1146193412369,44.7037094094251,29.5533849203447,TLR8
16844,ENSNFUG00015009290,1.16282481698465,4.48643410226831,3.88916217996972,107.090253259461,0.910539138489285,4.66894350803878,10.4520187228315,0.0,8.11969313881466,4.53831762253421,1.87649852362123,6.28427198391205,44.7037094094251,3.16643409860836,TLR7
17180,ENSNFUG00015020149,1424.4604008062,2449.5930198385,1441.90687822378,1549.54940368473,1003.41413061519,2390.49907611585,1142.75404702957,1344.23749166734,1304.56403096955,2444.33787149693,853.806828247659,1095.25883148181,1413.75481007307,1074.4766374611,IFIH1
17943,ENSNFUG00015015756,286.054904978224,568.281652953986,372.387278732101,367.831739456411,176.644592866921,377.250635449533,232.267082729588,254.845024461934,275.167378593163,317.682233577395,146.366884842456,161.595565300596,327.827202335784,178.375787554937,LBP
17945,ENSNFUG00015015773,1175.61588997148,1301.06588965781,1065.6304373117,1407.07280586997,845.890859656546,893.635787438622,1398.24783803212,945.633735457652,807.458373248791,775.144649928844,728.081427165037,583.539541363262,805.598096649015,571.013615782374,CEBPB
20079,ENSNFUG00015024799,676.764043485067,801.576226271938,735.051652014278,768.25616468744,782.153119962296,1015.96210734924,854.742864444885,441.544676082398,409.593409446873,572.735683963818,762.796649852029,529.67435292973,803.735442090289,514.017802007423,LPL
22019,ENSNFUG00015014917,212.796941508191,330.500645533765,337.384819112374,340.826371243155,206.692384437068,272.666300869465,258.977797243491,221.23908717025,204.796704723436,230.546535224738,165.131870078668,182.24388753345,191.853419548783,173.09839739059,RIPK2
24479,ENSNFUG00015012633,977.935671084091,849.4315233628,874.089199948195,944.256667870381,807.648215839996,854.416661971096,750.22267721657,792.540021128871,969.852236025084,751.545398291666,585.467539369823,708.327227900944,822.361987677549,667.062116773494,NLRX1
