"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSNFUG00015000040",2.15025829112346,0.00292648301347685,0.0092193282104001,0.31742909534076,0.750918032987271,NA
"ENSNFUG00015000041",22.3697216679593,0.000476276969016294,0.00166563217197843,0.285943665731778,0.774921268935415,0.978468118088858
"ENSNFUG00015000042",465.438807340511,0.000282121407244866,0.000537985190154414,0.524403668368437,0.59999780560219,0.958174738010806
"ENSNFUG00015000043",1388.86718028095,-6.77966597701323e-05,0.0014516699562919,-0.0467025300594564,0.9627503138522,0.996402680445818
"ENSNFUG00015000044",109.707480302001,-0.00109791763027016,0.000792647276885251,-1.38512761260529,0.166013449995074,0.824719628137707
"ENSNFUG00015000045",264.933105529275,0.000243175872014178,0.000563990265928532,0.431170335207511,0.666344521899658,0.967478413383186
"ENSNFUG00015000046",9.97344002314359,0.00235896145166858,0.00256101686067721,0.921103444451673,0.356996422096168,0.911185358081899
"ENSNFUG00015000047",405.492250988033,-7.92812301629098e-05,0.000397097034661452,-0.19965203273427,0.841752730700119,0.988336429727402
"ENSNFUG00015000048",112.823574520479,-0.000250011312447361,0.000774237923377255,-0.322912769961981,0.746761304941455,0.976710998365917
"ENSNFUG00015000049",653.880061821092,0.000352983982085931,0.000638306264915828,0.553000967540994,0.580262747640812,0.956764588659709
"ENSNFUG00015000050",259.159213027146,7.48449306708998e-05,0.000544156396348669,0.137543050441224,0.890601566741327,0.992973259641044
"ENSNFUG00015000051",529.078651079918,-0.000639220321587899,0.000678958555125199,-0.941471783163596,0.346463142663548,0.907007381090163
"ENSNFUG00015000052",180.274064801136,-0.000166176550234496,0.000719999608278241,-0.230800889783647,0.81746948994842,0.985372001420892
"ENSNFUG00015000053",4.45184059973759,0.00190727020993081,0.00360078178042588,0.52968225408684,0.596332253840671,0.95809986879389
"ENSNFUG00015000054",409.601333627553,-0.000393592630096608,0.000582320927607738,-0.675903288781919,0.499102049533543,0.94129338366672
"ENSNFUG00015000055",39.4804978908921,-0.000158755177566928,0.00178294278138892,-0.0890410949942305,0.92904925072369,0.994931242388109
"ENSNFUG00015000056",6.98584843599677,0.000686093968074466,0.00217321262208013,0.3157049435033,0.752226474099764,0.977223869868361
"ENSNFUG00015000058",758.100470095401,0.000112119918766536,0.00032198353587025,0.348216310077784,0.727677739722028,0.975079312079836
"ENSNFUG00015000063",92.8158113924579,-0.00102329189952402,0.00073978114591455,-1.38323598158072,0.166592520286764,0.824719628137707
"ENSNFUG00015000126",500.97349674339,0.000329737172229952,0.000500187291398309,0.659227409213353,0.509749748556786,0.944824817396202
"ENSNFUG00015000127",363.860925150646,0.000506352956918261,0.000940010227139127,0.53866749775619,0.590116304372612,0.957822491904233
"ENSNFUG00015000133",33.9983074212329,0.00123384643899352,0.00100479794802141,1.22795477580655,0.219463945268686,0.853135087011385
"ENSNFUG00015000165",0.587714428971847,-0.00438136059988491,0.00790874466344099,-0.553989385968953,0.57958610973283,NA
"ENSNFUG00015000166",64.2484903845189,-0.00398251998139914,0.00260487397754751,-1.52887241982765,0.126296074697916,0.795376312201063
"ENSNFUG00015000167",1.1018236552873,-0.00127889422704834,0.0121414902255503,-0.105332558301374,0.916111928878256,NA
"ENSNFUG00015000168",48.6311647164503,2.04994333799437e-05,0.00120156801491694,0.0170605684617536,0.986388296139601,0.997482211702545
"ENSNFUG00015000176",132.018551655622,-0.000329306942660891,0.000766752839644089,-0.429482521139078,0.667572111257097,0.967478413383186
"ENSNFUG00015000179",202.765991593553,-0.000201323953919651,0.00053645945316528,-0.375282703532907,0.707450228304103,0.971182716444997
"ENSNFUG00015000180",405.220191464863,-0.00318627298018414,0.00180699786999712,-1.7632964781465,0.0778504989982674,0.749769805865537
"ENSNFUG00015000184",143.305235612249,-0.00358665079523845,0.00213598552541671,-1.67915500950725,0.0931218376419763,0.763719031951412
"ENSNFUG00015000189",5.85824761574067,0.000847623642636813,0.00226837995455726,0.373669164609706,0.70865046921673,0.971254466176774
"ENSNFUG00015000192",0.707696243976113,0.00474491579161072,0.00868829538705882,0.546127356429231,0.584978396357181,NA
"ENSNFUG00015000196",233.791794601751,-0.00398459881148215,0.00244607672654282,-1.6289753989499,0.103318226957548,0.768997952757074
"ENSNFUG00015000197",173.899188473077,0.000969041100706379,0.00105179568487397,0.921320665831117,0.356883034745712,0.911185358081899
"ENSNFUG00015000201",2.77222657538933,0.0033681289780961,0.00337256699403656,0.998684083682161,0.31794775331762,NA
"ENSNFUG00015000204",131.617291560331,-0.000486492947868308,0.00102940040870467,-0.472598362847437,0.636499750711773,0.963212748310709
"ENSNFUG00015000207",322.45240296739,-0.00356713354645227,0.00287721063920557,-1.23978880720294,0.215053519221103,0.850438916919817
"ENSNFUG00015000208",595.588577489518,0.000496266354780387,0.000489746496301314,1.01331272102672,0.310910813213784,0.894332000397695
"ENSNFUG00015000209",965.436636615588,0.000167486806635701,0.000732747517615292,0.228573693679349,0.819200272706665,0.985697773578221
"ENSNFUG00015000213",7606.92409206869,0.0007155923716821,0.000751660032675272,0.952015992037249,0.341088871539497,0.905155082509208
"ENSNFUG00015000214",647.575692728352,-0.00240092632846876,0.00117230386997154,-2.04804094737574,0.0405559873466874,0.685056325093304
"ENSNFUG00015000218",121.682295519038,-0.003208241227617,0.0018746974395761,-1.71133813909856,0.0870187096487308,0.759907383399476
"ENSNFUG00015000221",453.796376217157,-0.00403581119736863,0.00264773159784407,-1.52425238292839,0.127445677093727,0.795599495092552
