"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","ENSNFUG00015001561",26.7775727359985,0.0206464195261172,0.0044445749851563,4.64530795296981,3.39569534770794e-06,0.0147325638355657
"2","ENSNFUG00015003183",110.929779867806,0.00427957244987895,0.000862754673630697,4.96035846652605,7.03632126434707e-07,0.00656437931303168
"3","ENSNFUG00015003491",74.4997716962369,0.0184058254339742,0.00361311550489424,5.09417022761715,3.50271943681026e-07,0.00656437931303168
"4","ENSNFUG00015007588",27.6836723681591,0.0239350114848845,0.0052968618448309,4.51871545568858,6.22159411006133e-06,0.016870630128695
"5","ENSNFUG00015007598",4612.02516259832,0.00810052603955186,0.00188879722567427,4.2887219069586,1.79704202244746e-05,0.0354393023572297
"6","ENSNFUG00015007606",1199.98953187668,0.00902604829037169,0.00198930384772802,4.53728991711362,5.69817475040161e-06,0.016870630128695
"7","ENSNFUG00015007754",26.0156226341285,0.0112507416313653,0.0026102231683883,4.310260428158,1.63062398253641e-05,0.0354393023572297
"8","ENSNFUG00015005532",58.5411547995198,0.0116690253181838,0.00272000079342269,4.29008158615283,1.78607491494355e-05,0.0354393023572297
"9","ENSNFUG00015011531",7.04056936381563,0.0171387159259738,0.00349012081978389,4.91063685498288,9.07810719545247e-07,0.00656437931303168
"10","ENSNFUG00015009636",8.37196130915377,0.0248019034948426,0.00521502033999231,4.75585939802474,1.97603969852638e-06,0.0107165572950332
"11","ENSNFUG00015014544",57.2959546564982,0.0165731307108683,0.00361949395280463,4.5788529907686,4.67532635651946e-06,0.016870630128695
