"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","ENSNFUG00015001315",107.344138124623,0.00279930716984017,0.000717845267961847,3.89959688358488,9.63529765599181e-05,0.0164786901121466
"2","ENSNFUG00015003055",151.574405587712,0.00226622012946545,0.00061043847151805,3.7124464384261,0.000205265508919785,0.0255266649880191
"3","ENSNFUG00015004071",318.545368573629,0.00306002759626377,0.000580820591526285,5.26845576914311,1.3757618169887e-07,9.41154221060622e-05
"4","ENSNFUG00015004112",36.5426847643619,0.00603173413168414,0.00077304457662992,7.80256962409519,6.06591425943906e-15,7.06028809942999e-11
"5","ENSNFUG00015004230",3146.14429316755,0.00128272402384259,0.000332729904355567,3.85515100101079,0.000115658218522538,0.0173954882284217
"6","ENSNFUG00015008942",966.019998928027,0.00265543218087743,0.000544103280029317,4.88038260077084,1.05880228212286e-06,0.00051031863629499
"7","ENSNFUG00015013167",224.510104624521,0.00193289343604707,0.000422317206593676,4.57687587876751,4.71971298478257e-06,0.00169645683505566
"8","ENSNFUG00015013252",333.31006920102,0.0032137889175673,0.000666322430984473,4.82317383915623,1.41291725032621e-06,0.000665860802837066
"9","ENSNFUG00015018098",795.554342878879,0.00131760405965991,0.000277979230618947,4.73993706913331,2.13784607155749e-06,0.000906746032790396
"10","ENSNFUG00015019689",123.449479525999,0.00486697851542277,0.000696104825776273,6.99173218630581,2.71512811813922e-12,5.75797220013785e-09
"11","ENSNFUG00015019985",986.292060344639,0.00135936967914028,0.000363916804331118,3.73538584358261,0.000187427589411465,0.0240895569009027
"12","ENSNFUG00015000243",283.504822746415,0.00224236503129575,0.000555702358536706,4.03519077586861,5.45579496568704e-05,0.0112331110521675
"13","ENSNFUG00015000697",23.1684658951329,0.00335246526691374,0.000960153087067421,3.49159453015259,0.000480146527970606,0.0464952850167701
"14","ENSNFUG00015001295",122.807159091364,0.00228423108225127,0.000465195417596159,4.91026135651713,9.09550855486497e-07,0.000459258214102432
"15","ENSNFUG00015001835",25.6875041953336,0.00398966203403463,0.000891569366355944,4.47487563456933,7.64558015831858e-06,0.00242616335783892
"16","ENSNFUG00015003089",41.1441278412493,0.00581103469331126,0.00153812756316509,3.77799269220141,0.000158097517016183,0.0213552486838357
"17","ENSNFUG00015005947",2907.22015795895,0.00254963768864275,0.000690772490059996,3.69099482873341,0.000223378679509069,0.0264647578566974
"18","ENSNFUG00015006697",675.034443698474,0.00101333500690292,0.000265497403179476,3.81674168849744,0.000135225610577451,0.0197477285981657
"19","ENSNFUG00015010531",4.78267846744055,0.00727521579353678,0.00188365797878196,3.86228066638784,0.000112333404619486,0.0173689738257163
"20","ENSNFUG00015011619",1558.43177730058,-0.00125575402416208,0.000340516662115194,-3.68779024310202,0.000226210000756288,0.0265040634587768
"21","ENSNFUG00015013998",60.3855583993979,0.00596689339258657,0.00120430981978696,4.95461657336824,7.24730570822008e-07,0.000374862468668837
"22","ENSNFUG00015018469",60.1904667713275,0.00850395261426149,0.00114589072988635,7.42125963014372,1.16011645334533e-13,4.92051792521888e-10
"23","ENSNFUG00015019303",2322.27022942193,0.000985457925414162,0.000246894690413,3.99140995606552,6.56816267365762e-05,0.0124366987339515
"24","ENSNFUG00015021154",293.316059214091,0.00155461836374738,0.000432758451570111,3.59234662687002,0.00032771353759502,0.0343741571851489
"25","ENSNFUG00015000187",816.535312469967,0.00140995990060197,0.000308461036098489,4.57094976544065,4.85518670506343e-06,0.00171606574090467
"26","ENSNFUG00015000967",19.4285617234565,0.00418901000399606,0.00114790604427304,3.64926208455408,0.000262994684208906,0.0290485847292618
"27","ENSNFUG00015001561",26.7775727359985,0.0145879550125631,0.00229374423468521,6.35988738062815,2.01901724776933e-10,3.29363836718802e-07
"28","ENSNFUG00015002001",45.1791659751432,0.00597070352050445,0.00130077297556975,4.59011959245942,4.42992120043272e-06,0.00164816384030836
