"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","ENSNFUG00015000045",264.933105529275,-0.380744590203922,0.101730650335375,-3.74267331378224,0.000182072871546137,0.00179934948583826
"2","ENSNFUG00015000049",653.880061821092,-0.416797523444094,0.116163835092011,-3.58801448931123,0.000333205777043307,0.00289459439819297
"3","ENSNFUG00015000052",180.274064801136,-0.407338666636139,0.129457004730922,-3.14651700371717,0.0016522765392332,0.0102728092810008
"4","ENSNFUG00015000054",409.601333627553,0.343430480964078,0.106499883844095,3.22470286884844,0.00126103475296667,0.00829394554344589
"5","ENSNFUG00015000127",363.860925150646,0.678987655136484,0.171939703837001,3.94898699942025,7.84826134347803e-05,0.000914303789792503
"6","ENSNFUG00015000168",48.6311647164503,-0.975267247434079,0.217405202199247,-4.48594255136667,7.25923007483709e-06,0.000137178921028605
"7","ENSNFUG00015000180",405.220191464863,1.01021776051273,0.354183709533061,2.85224230624426,0.00434119951488838,0.0218277411996884
"8","ENSNFUG00015000184",143.305235612249,1.92959224876234,0.412717718460865,4.67533173995608,2.93478817635653e-06,6.69988443614809e-05
"9","ENSNFUG00015000208",595.588577489518,-0.393990126321552,0.0915802707578263,-4.30212886532531,1.69164872602128e-05,0.000263459953071661
"10","ENSNFUG00015000214",647.575692728352,1.0065962057149,0.237433988566349,4.23947814629586,2.24040001958929e-05,0.000329603346444314
"11","ENSNFUG00015000218",121.682295519038,1.41069392371057,0.363716074732149,3.87855808888691,0.000105077437345896,0.00115574699540601
"12","ENSNFUG00015000231",64.8970445146049,0.987549910111263,0.275330818518937,3.58677577549619,0.000334791969340567,0.00290218840403598
"13","ENSNFUG00015000247",281.997123566963,-0.435359178384363,0.159092154116226,-2.73652199131271,0.00620924446053675,0.0289559035923487
"14","ENSNFUG00015000268",19.5950074999243,1.09464857618925,0.297572667394934,3.67859247884633,0.000234524653573729,0.00219803322790542
"15","ENSNFUG00015000269",7259.98465057885,-0.67865421386705,0.197054150523995,-3.44399857634265,0.000573178720301322,0.00441351617276713
"16","ENSNFUG00015000304",464.258062539874,-0.308892732743016,0.107935475824404,-2.86182768347214,0.00421205841582928,0.0212949390748013
"17","ENSNFUG00015000310",1096.49777774259,-0.396368268796566,0.157728731820859,-2.51297442273702,0.0119718014259335,0.0482852266925688
"18","ENSNFUG00015000351",778.798992967203,-0.193366803547175,0.0705248040158414,-2.74182688269138,0.00610985336275654,0.0286316609028623
"19","ENSNFUG00015000352",304.675403701691,0.659966298110032,0.195211437491436,3.38077679561673,0.000722812325367323,0.00532226384351438
"20","ENSNFUG00015000368",296.192414170897,-0.454155290887192,0.168235413062899,-2.69952254771351,0.00694390502079024,0.0316134768133476
"21","ENSNFUG00015000443",2377.45902187987,0.982200248693741,0.150286085645478,6.53553683612955,6.33817793208128e-11,1.18454099945922e-08
"22","ENSNFUG00015000467",625.568574159036,-0.530171855252603,0.123217916436096,-4.30271725563194,1.68716099378302e-05,0.0002631326831393
"23","ENSNFUG00015000475",278.91845994962,0.625139977547395,0.164127033557218,3.80887879344666,0.000139598363185057,0.00145283751926383
"24","ENSNFUG00015000479",185.505461870259,-0.562607150778279,0.166603296991508,-3.37692687322362,0.000733005348609616,0.00536863731414409
"25","ENSNFUG00015000527",82.8334899053598,1.04550355778608,0.219362390136563,4.76610214328541,1.87824066993895e-06,4.79131908633899e-05
"26","ENSNFUG00015000569",30.0469211401603,1.03805734673412,0.264095609594122,3.9306119035052,8.47299462532924e-05,0.000969667620510564
"27","ENSNFUG00015000586",219.453173091645,0.475923432634167,0.148558039032912,3.20361951283383,0.00135711700037927,0.00878593683816168
"28","ENSNFUG00015000605",13.9104075727857,1.99665104194824,0.620957338267492,3.21543996487587,0.00130244734784902,0.0084903551173853
"29","ENSNFUG00015000612",425.212079889663,0.534825262179285,0.159740293861831,3.34809238952501,0.00081369880137144,0.00582641151759819
"30","ENSNFUG00015000615",384.636119249145,0.897551327403522,0.218290265094487,4.11173318707098,3.9269997085416e-05,0.000517027609387869
"31","ENSNFUG00015000634",62.6960420213388,0.452858024144387,0.171637717412145,2.63845284691687,0.00832852819463841,0.0364061510954135
"32","ENSNFUG00015000656",1744.81138077871,-0.35220865364043,0.0832338537240743,-4.23155528528121,2.32080932207755e-05,0.000340071813819111
