"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","ENSNFUG00015000294",18.9344494559297,0.00226964394287897,0.000664071180728282,3.41777208339303,0.000631359531455994,0.0199791228545816
"2","ENSNFUG00015000443",2377.45902187987,0.00210730607091409,0.000536048811826674,3.93118317664599,8.45288358880844e-05,0.0070911822203927
"3","ENSNFUG00015000615",384.636119249145,0.00195466214449761,0.000635389276727948,3.07632221079257,0.00209571241726675,0.042573781370769
"4","ENSNFUG00015000634",62.6960420213388,0.00132620538835796,0.000381986428817586,3.47186519809916,0.000516855799317265,0.0176432630823309
"5","ENSNFUG00015000699",151.398193616434,-0.00173607639059983,0.000440453667819427,-3.94156415859744,8.0951974678418e-05,0.00697349453791856
"6","ENSNFUG00015001218",148.686633017971,0.00181895417526509,0.000441977051579064,4.11549461395442,3.86350019704653e-05,0.0047260514574396
"7","ENSNFUG00015001314",186.689138862074,0.00247573444543465,0.000807823158005135,3.06469853073823,0.00217889506828516,0.0437065679670249
"8","ENSNFUG00015001315",107.344138124623,0.00186239568610674,0.000518003439064282,3.59533459752884,0.000323974913579065,0.0131748152104495
"9","ENSNFUG00015001328",940.359994076352,0.00125975914799105,0.000318500616906745,3.95528008776165,7.64450387527499e-05,0.00688703325215535
"10","ENSNFUG00015001715",109.12494907604,0.00576773654203461,0.00173434325532957,3.3256026592836,0.000882276031881566,0.0248054839302821
"11","ENSNFUG00015001957",42.9400815839576,0.00879894380651295,0.00248970158954248,3.53413591551342,0.00040911064306039,0.015413057517917
"12","ENSNFUG00015001978",460.683222194687,0.00554003274240603,0.00151446184904787,3.6580866965312,0.000254105099327336,0.0117031864105261
"13","ENSNFUG00015002028",23.8591878772407,0.00322776478294007,0.000929388584936377,3.47299809278488,0.000514679012663026,0.0175984551508095
"14","ENSNFUG00015002029",51.2684995828559,0.00230124968876839,0.000624818918879848,3.68306659614914,0.000230444925114447,0.0112619087106048
"15","ENSNFUG00015002044",28.8955867152534,0.005068603523161,0.00162143794253988,3.12599291664616,0.00177205820018536,0.0386107444437863
"16","ENSNFUG00015002082",5.84626298697131,0.0110102667345503,0.00356439942127333,3.08895424817935,0.00200862368879918,0.041454871967737
"17","ENSNFUG00015002087",49.3422302514159,0.010898190966803,0.00358635495491268,3.03879317686455,0.00237527861969133,0.0463447723904182
"18","ENSNFUG00015002237",67.645250704596,-0.00260696365893353,0.000785678215786297,-3.31810607262989,0.000906300600842337,0.0253007085444201
"19","ENSNFUG00015002266",2254.31205563582,-0.00181218988781959,0.000564885514001871,-3.20806578129669,0.00133630929797232,0.0321972848410283
"20","ENSNFUG00015002409",37.3765541589437,0.00418915048342234,0.00126688855904428,3.30664481379686,0.000944205316096055,0.0258087728562639
"21","ENSNFUG00015002427",340.047529944603,0.00177621895221775,0.000496726070358508,3.57585208067654,0.000349089005633582,0.0138043383315524
"22","ENSNFUG00015002432",42.0479320054494,0.00208889084272626,0.000462416248933316,4.51733875603384,6.26216802431305e-06,0.00152656921919754
"23","ENSNFUG00015002542",375.885125699759,0.000920503525671979,0.000291066567138841,3.16251892039834,0.001564105712607,0.0357564541334768
"24","ENSNFUG00015002856",34.7729535125377,0.00224411476466405,0.000618623826696058,3.62759187057085,0.000286076996499182,0.0124795819883359
"25","ENSNFUG00015003055",151.574405587712,0.0015425906836245,0.000432513618136181,3.56657136085551,0.00036168235240723,0.0141671456034598
"26","ENSNFUG00015003392",22.8173515154919,-0.00205740718401852,0.000661599764573655,-3.10974594337158,0.00187248324057634,0.0397416783235481
"27","ENSNFUG00015003399",144.659948335815,0.00385216594654878,0.00113369616250114,3.39788214335152,0.000679096691170077,0.0207851736155616
"28","ENSNFUG00015003628",202.60641460574,0.0031377996497753,0.000935712733084002,3.35337923577621,0.000798312424633378,0.0231354290221374
"29","ENSNFUG00015003662",268.363177115475,0.00164903621612371,0.000476186412024165,3.46300560974432,0.000534177258351166,0.0180565855959127
"30","ENSNFUG00015003957",196.126776474554,0.00510046438852179,0.00114626009110103,4.44965713115127,8.60074853210166e-06,0.00181853173809876
"31","ENSNFUG00015003963",202.377365132632,0.00736880863617245,0.0020774518979698,3.54704175984707,0.000389582833476203,0.0149454958506536
"32","ENSNFUG00015004112",36.5426847643619,0.0033123556792865,0.000910671815507911,3.63726605224858,0.000275547273145944,0.0122261564172529
"33","ENSNFUG00015004179",151.379090585744,-0.00128145527559826,0.000350962752017085,-3.65125720103732,0.000260959735372633,0.0118582163961762
"34","ENSNFUG00015004205",89.8636884848906,0.00875030654520478,0.00226067414008754,3.87066246746465,0.000108539990683595,0.00789449362127275
"35","ENSNFUG00015004227",684.752605056597,0.0119150118417223,0.0036233966533892,3.28835426576259,0.00100774942977918,0.0268056173741393
"36","ENSNFUG00015004253",56.1127976731314,0.0035681829399391,0.00103442421822246,3.44943870907299,0.000561753238564108,0.0185647350180014
"37","ENSNFUG00015004260",53.342449668817,0.00380482172792884,0.000778850575047294,4.88517547502331,1.03336780080226e-06,0.000416820069328541
"38","ENSNFUG00015004375",604.914062075747,0.000667781037156408,0.000201608942221025,3.31225901886988,0.000925458179801866,0.0255673310131227
"39","ENSNFUG00015004655",27.4762965134779,0.0132077839610749,0.00334676810414527,3.94642937606461,7.93253055475292e-05,0.00697349453791856
"40","ENSNFUG00015004659",1074.67298818841,-0.000995392884008543,0.000297872896245474,-3.34166987515457,0.000832760408792824,0.0237680832377357
"41","ENSNFUG00015005989",36.7889476290504,0.0059915250806066,0.00160908856882969,3.72355207579674,0.000196439318924788,0.0107347287919168
"42","ENSNFUG00015009396",156.499344653102,-0.00336073084209258,0.000988029356763538,-3.40144836698096,0.000670297895763783,0.0207129046584985
"43","ENSNFUG00015010248",78.9113989077075,0.0124628115665949,0.00357506182187882,3.48604085398592,0.000490226131407156,0.0171009691395416
"44","ENSNFUG00015010625",241.98912926189,0.0121320959711029,0.00345865883223751,3.50774579383833,0.000451920660370023,0.0162590786226354
"45","ENSNFUG00015010803",22.8486580025586,0.00901148840344482,0.002329082996375,3.86911433275257,0.00010923141471263,0.00789449362127275
