"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","ENSNFUG00015000045",264.933105529275,-0.403015262771269,0.147331163211388,-2.73543800229847,0.00622973203832478,0.0346937834392735
"2","ENSNFUG00015000049",653.880061821092,-0.486157997164839,0.164793384822777,-2.95010626602315,0.00317664649003081,0.0210062806716817
"3","ENSNFUG00015000054",409.601333627553,0.408956351481309,0.150168423846548,2.72331786540696,0.00646298411054246,0.0356029538148942
"4","ENSNFUG00015000168",48.6311647164503,-1.02590609679387,0.314174072318676,-3.26540662385808,0.0010930703801893,0.00946539140574701
"5","ENSNFUG00015000180",405.220191464863,1.45014176927023,0.479454349656906,3.02456692760831,0.00248989375035977,0.0174671441494805
"6","ENSNFUG00015000184",143.305235612249,2.31639491174366,0.567576447908186,4.08120336966196,4.4803130890361e-05,0.000917667620044359
"7","ENSNFUG00015000208",595.588577489518,-0.481982375931469,0.127373433064325,-3.78401024716091,0.000154321465262669,0.00217744199189982
"8","ENSNFUG00015000214",647.575692728352,1.31091399720958,0.316906253671639,4.13659870078763,3.52491773908607e-05,0.000783361840454321
"9","ENSNFUG00015000218",121.682295519038,1.78383083324953,0.499395649939988,3.5719791180878,0.000354293667150151,0.00405696857411082
"10","ENSNFUG00015000228",10.1041855530455,1.94579564704884,0.745293995512201,2.6107759605813,0.00903370538903197,0.0458051217068614
"11","ENSNFUG00015000247",281.997123566963,-0.710388719948581,0.207215282205486,-3.42826413374338,0.000607454129476543,0.00611474065191336
"12","ENSNFUG00015000268",19.5950074999243,1.46079439193823,0.392470199943073,3.72205174341928,0.000197610514131833,0.00263071322862133
"13","ENSNFUG00015000269",7259.98465057885,-0.81079766606114,0.275426292674231,-2.94379181518497,0.00324218010125402,0.0213199731495485
"14","ENSNFUG00015000304",464.258062539874,-0.452821560146738,0.144728883877328,-3.12875735662101,0.0017554720640585,0.0134204383786909
"15","ENSNFUG00015000352",304.675403701691,0.760019847380943,0.274298021044508,2.77078137307312,0.00559219606543998,0.0320172491050938
"16","ENSNFUG00015000368",296.192414170897,-0.618463496728671,0.233271970229811,-2.65125508272333,0.00801932506203883,0.0418619983076469
"17","ENSNFUG00015000443",2377.45902187987,0.988926919936598,0.214278095741267,4.61515637664939,3.92799443894987e-06,0.00017099800252284
"18","ENSNFUG00015000467",625.568574159036,-0.758007422137326,0.153407038197458,-4.94115153414053,7.76625180394211e-07,5.20447888871209e-05
"19","ENSNFUG00015000475",278.91845994962,0.86201541927815,0.210578015039878,4.09356797819045,4.24785462011184e-05,0.000882313936618138
"20","ENSNFUG00015000479",185.505461870259,-0.647588454494484,0.237370490631781,-2.72817591087617,0.00636856359359287,0.0352181575496863
