,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,HGNC
1041,ENSNFUG00015007912,406.605003496742,0.0012978999923112,0.0006420391347883,2.02152785085134,0.0432251522803929,0.433080663883688,BTK
2165,ENSNFUG00015003624,155.46894295547,0.00103790390349,0.0005877512385191,1.76588977694896,0.0774143426395599,0.540100540668003,SYK
2959,ENSNFUG00015017305,349.523204286157,0.0012020601208132,0.0005250191726264,2.28955471244972,0.0220471428303632,0.322657293967007,PRKCB
6481,ENSNFUG00015003253,54.816092032996,0.0055497701859414,0.0005582022486075,9.94222112108251,2.72678238253769e-23,2.69256126363684e-19,CD79A
6775,ENSNFUG00015005432,244.664546413256,0.0011901368747738,0.0005819376424134,2.04512784194208,0.0408422560474875,0.425249769944768,RFTN1
7179,ENSNFUG00015012537,21.777740993389,0.0104879614977884,0.0016934143370154,6.1933817781849,5.88868609466934e-10,4.4729100647548e-07,CD22
8963,ENSNFUG00015004324,670.417082686662,0.0010491417233134,0.0003267846483542,3.21049880585654,0.0013250481906585,0.0673730748734761,CD81
9890,ENSNFUG00015007754,26.0156226341285,0.0090254765362175,0.0011752436636935,7.67966406885593,1.59506309413279e-14,3.93761263075355e-11,PAX5
12447,ENSNFUG00015009559,29.9775956450379,0.0021897368763991,0.000772348715857,2.83516607387538,0.0045801869175752,0.137776550405588,RUNX1
16649,ENSNFUG00015006303,3578.48119571483,0.0010599796038437,0.0004756030711563,2.22870639011335,0.0258334468113414,0.345841575017532,SLC39A10
20844,ENSNFUG00015020367,133.570424497201,0.0017864581907856,0.0004950758883016,3.60845323514774,0.00030802802351,0.0262208855012937,MEF2C
24521,ENSNFUG00015014834,162.734710186906,0.0112205242058661,0.0025509545549509,4.39855903512246,1.08971985991397e-05,0.0021738260114586,IGHM
