,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,HGNC
1041,ENSNFUG00015007912,406.605003496742,0.001840850812515,0.0007763287853614,2.37122575798614,0.0177291982272174,0.374641335746667,BTK
2165,ENSNFUG00015003624,155.46894295547,0.0016515663178051,0.0006904423804491,2.39204076193991,0.0167549814465139,0.364532481621953,SYK
2959,ENSNFUG00015017305,349.523204286157,0.0016562040897575,0.0006377656049531,2.59688524576234,0.009407334680823,0.30022700620417,PRKCB
6481,ENSNFUG00015003253,54.816092032996,0.0065129374194732,0.0012543103269363,5.19244502704623,2.07550164157065e-07,0.0003018142461481,CD79A
6775,ENSNFUG00015005432,244.664546413256,0.0017247750887921,0.0006957393678903,2.47905346225001,0.0131731559509811,0.336058663227747,RFTN1
7179,ENSNFUG00015012537,21.777740993389,0.0118727340441792,0.0030665602683038,3.87167803838605,0.0001080886641127,0.0312226578058688,CD22
8566,ENSNFUG00015020216,26.0654907982775,0.0011437333040836,0.0009260844542224,1.23502051985526,0.216822867356594,0.75767036898183,SH2B2
8963,ENSNFUG00015004324,670.417082686662,0.001173077957086,0.0004580261993054,2.56115907532116,0.0104323576181889,0.309443833553104,CD81
9890,ENSNFUG00015007754,26.0156226341285,0.0103107203971096,0.0023944989713937,4.30600326844503,1.66230601006814e-05,0.0086698493458442,PAX5
12447,ENSNFUG00015009559,29.9775956450379,0.0029025468069799,0.0010143465553279,2.86149422180616,0.004216491896105,0.222707804616774,RUNX1
16649,ENSNFUG00015006303,3578.48119571483,0.0012786102327762,0.0006077077194171,2.10398879580245,0.0353794243708533,0.464367741229572,SLC39A10
20844,ENSNFUG00015020367,133.570424497201,0.0021868694810028,0.0006197228939691,3.52878601433724,0.0004174705510582,0.0699859559524068,MEF2C
24521,ENSNFUG00015014834,162.734710186906,0.0104838320885949,0.0040464578916736,2.59086647365523,0.0095734628932491,0.301766919906565,IGHM
