"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSNFUG00015000040",2.15025829112346,0.00697371303672033,0.0156110678419731,0.446715952253458,0.655080162416776,0.999986564374556
"ENSNFUG00015000041",22.3697216679593,0.000577758919153742,0.00280196812908748,0.20619753421032,0.836636613878658,0.999986564374556
"ENSNFUG00015000042",465.438807340511,0.00026692145453369,0.000906233223538996,0.294539471297814,0.768345706582279,0.999986564374556
"ENSNFUG00015000043",1388.86718028095,-8.14590963015284e-05,0.00241963072336475,-0.0336659208014399,0.97314355481976,0.999986564374556
"ENSNFUG00015000044",109.707480302001,-0.00155197429234331,0.00134069208057938,-1.15759189960504,0.247030616489933,0.999986564374556
"ENSNFUG00015000045",264.933105529275,0.000208881696477713,0.000949689560737893,0.219947343967238,0.825912163855248,0.999986564374556
"ENSNFUG00015000046",9.97344002314359,0.00457607768813217,0.00431430123285898,1.06067644356389,0.288836968916896,0.999986564374556
"ENSNFUG00015000047",405.492250988033,-0.000217339826938376,0.000660663578162941,-0.328972012567602,0.742176842442105,0.999986564374556
"ENSNFUG00015000048",112.823574520479,-0.000472692678576054,0.00129084287441353,-0.366189168291154,0.714223924171837,0.999986564374556
"ENSNFUG00015000049",653.880061821092,0.000633430411465152,0.00106376021666703,0.595463527908396,0.551533671640595,0.999986564374556
"ENSNFUG00015000050",259.159213027146,0.000142231361899363,0.000909638373278811,0.156360336236352,0.875748999674277,0.999986564374556
"ENSNFUG00015000051",529.078651079918,-0.000933839334743863,0.00114085716172742,-0.818541852627634,0.413047854064112,0.999986564374556
"ENSNFUG00015000052",180.274064801136,-0.000514687816744478,0.00119818619494259,-0.429555789339684,0.667518802960141,0.999986564374556
"ENSNFUG00015000053",4.45184059973759,0.0037807318710745,0.00608753710943673,0.621060997757815,0.534559489882009,0.999986564374556
"ENSNFUG00015000054",409.601333627553,-0.000652642069223949,0.000970059607001965,-0.672785532469477,0.501083743161891,0.999986564374556
"ENSNFUG00015000055",39.4804978908921,-7.7213883999458e-05,0.0029691913815667,-0.0260050209221327,0.979253333689835,0.999986564374556
"ENSNFUG00015000056",6.98584843599677,0.00135474931413705,0.00363733842040518,0.372456218683699,0.709553203308342,0.999986564374556
"ENSNFUG00015000058",758.100470095401,0.000235359988263006,0.00053617315343529,0.43896264994814,0.660688599954883,0.999986564374556
"ENSNFUG00015000063",92.8158113924579,-0.00162175506084951,0.00123345252824591,-1.31480946668925,0.18857394507436,0.999986564374556
"ENSNFUG00015000126",500.97349674339,0.000508716004396438,0.000837960840176671,0.607088040401964,0.543792486593124,0.999986564374556
"ENSNFUG00015000127",363.860925150646,0.000632328058398544,0.00157530086994203,0.40140145318514,0.688124579664294,0.999986564374556
"ENSNFUG00015000133",33.9983074212329,0.00210468985920781,0.00169071905035082,1.2448489645699,0.21318727363838,0.999986564374556
"ENSNFUG00015000165",0.587714428971847,-0.00917679801938667,0.0128547321113063,-0.713884812217536,0.4752984095527,0.999986564374556
"ENSNFUG00015000166",64.2484903845189,-0.00449726651201941,0.00443666993629806,-1.01365812120158,0.310745913751279,0.999986564374556
"ENSNFUG00015000167",1.1018236552873,-0.00306911297641174,0.020226220680047,-0.151739320210196,0.879392543199094,0.999986564374556
"ENSNFUG00015000168",48.6311647164503,0.000468300319944202,0.00202130008024411,0.231682729606208,0.816784446227867,0.999986564374556
"ENSNFUG00015000176",132.018551655622,-0.000532067405510174,0.00127884390308675,-0.416053440318963,0.677370898814266,0.999986564374556
"ENSNFUG00015000179",202.765991593553,-0.000248961271990239,0.000895692698056349,-0.277953892591158,0.78104775290832,0.999986564374556
"ENSNFUG00015000180",405.220191464863,-0.003964912444548,0.00310252817120201,-1.27796178656836,0.201262900486561,0.999986564374556
"ENSNFUG00015000184",143.305235612249,-0.00376223764229249,0.00366963825160273,-1.02523392888913,0.305252822624941,0.999986564374556
"ENSNFUG00015000189",5.85824761574067,0.00158502247931601,0.00378866270155394,0.418359353728138,0.675684399875237,0.999986564374556
"ENSNFUG00015000192",0.707696243976113,0.0112173030435286,0.0146274956165491,0.766864221845173,0.44316224781133,0.999986564374556
"ENSNFUG00015000196",233.791794601751,-0.00519979355911113,0.00475861832745797,-1.09271078310851,0.274520803812816,0.999986564374556
"ENSNFUG00015000197",173.899188473077,0.00139758201141838,0.00177388960455121,0.787863014605106,0.430776837054983,0.999986564374556
"ENSNFUG00015000201",2.77222657538933,0.00542326513333437,0.00585334283280482,0.926524430269129,0.354173507046757,0.999986564374556
"ENSNFUG00015000204",131.617291560331,-0.000845860880256169,0.0017139786153029,-0.493507254235308,0.621654215396751,0.999986564374556
"ENSNFUG00015000207",322.45240296739,-0.00398897295350072,0.00489649075593401,-0.814659549528716,0.415267213574347,0.999986564374556
"ENSNFUG00015000208",595.588577489518,0.000818063782527793,0.00082016311117554,0.997440352267565,0.318550812836794,0.999986564374556
"ENSNFUG00015000209",965.436636615588,6.52766267380103e-05,0.00122464860877474,0.0533023320079703,0.957491022171438,0.999986564374556
"ENSNFUG00015000213",7606.92409206869,0.000971442069599366,0.00126872501492385,0.76568370464239,0.443864525335084,0.999986564374556
"ENSNFUG00015000214",647.575692728352,-0.00294816442745659,0.00205037146162722,-1.43786844609945,0.150471384166016,0.999986564374556
"ENSNFUG00015000218",121.682295519038,-0.0034772029441053,0.00323063523634318,-1.0763217416155,0.281783388384774,0.999986564374556
"ENSNFUG00015000221",453.796376217157,-0.00470066448574146,0.00454689265245318,-1.03381910351574,0.30122073911381,0.999986564374556
"ENSNFUG00015000228",10.1041855530455,-0.00596942125287691,0.00487062422804999,-1.22559675585296,0.22035045926855,0.999986564374556
"ENSNFUG00015000230",123.907296880912,-0.000793091767872408,0.000941241858050672,-0.842601464319611,0.399451371858864,0.999986564374556
"ENSNFUG00015000231",64.8970445146049,0.000570286740463762,0.00252655154030045,0.225717437925666,0.821421194564601,0.999986564374556
"ENSNFUG00015000246",62.9158502054764,-0.0010038833284138,0.00140608322442495,-0.713957261544286,0.475253607480182,0.999986564374556
"ENSNFUG00015000247",281.997123566963,0.00232979471524656,0.00132872031303662,1.75341243178718,0.0795312386173954,0.999986564374556
"ENSNFUG00015000251",4.50430575623662,0.00447937439864729,0.00504358562724339,0.888132913705588,0.374469259871784,0.999986564374556
"ENSNFUG00015000260",26.7651464770421,0.00288310190842493,0.00229572064215995,1.25585920842369,0.209167020296205,0.999986564374556
"ENSNFUG00015000263",6.69423611053498,-0.00155543145739377,0.00431387328155893,-0.360564939179593,0.718424703043223,0.999986564374556
"ENSNFUG00015000268",19.5950074999243,-0.00364367800822332,0.00255612170171458,-1.42547125427527,0.154021023741745,0.999986564374556
"ENSNFUG00015000269",7259.98465057885,0.00117396123667085,0.00178137197483687,0.659020829593074,0.509882393008393,0.999986564374556
"ENSNFUG00015000273",12.6682843403124,-0.00197757438499464,0.00273463987248795,-0.723157153119201,0.469583339325715,0.999986564374556
"ENSNFUG00015000278",54.652176080862,-0.00287140624417175,0.0017987062633813,-1.59637307248485,0.110405524395798,0.999986564374556
"ENSNFUG00015000282",3.42156248972513,0.00163694944510044,0.00527817622138621,0.310135428686109,0.756457971406798,0.999986564374556
"ENSNFUG00015000291",36.868144987151,-0.0034391838954526,0.0151363340665209,-0.227213794326825,0.82025750186759,0.999986564374556
"ENSNFUG00015000294",18.9344494559297,0.00539793310604804,0.00296763850870473,1.81893215437619,0.0689217815092943,0.999986564374556
"ENSNFUG00015000299",127.758950362479,-0.000295635556991907,0.00203856464564623,-0.145021428495435,0.884693953146436,0.999986564374556
"ENSNFUG00015000302",0.717489094580274,0.00245053656469444,0.0117194130452525,0.209100622636314,0.83436968865507,0.999986564374556
"ENSNFUG00015000304",464.258062539874,0.00129046484438549,0.000930153642210919,1.38736740450549,0.165329759035963,0.999986564374556
"ENSNFUG00015000306",76.3382243402611,-3.79435723147495e-05,0.00120949179994553,-0.0313715002585865,0.974973269458958,0.999986564374556
"ENSNFUG00015000309",61.5119386208738,-0.00466593715713065,0.00259911802442459,-1.79520018455631,0.0726218110933027,0.999986564374556
"ENSNFUG00015000310",1096.49777774259,-1.4431206448777e-05,0.00145453681251238,-0.0099215133811914,0.992083907525539,0.999986564374556
"ENSNFUG00015000320",17.2682119036567,-0.00243015609327825,0.00373125742016009,-0.65129682024833,0.514854900607535,0.999986564374556
"ENSNFUG00015000330",1294.87034615213,0.000507024272750625,0.000500035835184911,1.01397587347541,0.310594264808675,0.999986564374556
"ENSNFUG00015000338",24.1718614597718,7.29315515506336e-05,0.00231870356969781,0.0314535900594393,0.974907803581407,0.999986564374556
"ENSNFUG00015000351",778.798992967203,-0.000273773604054696,0.000656078078786275,-0.417288144364112,0.676467659173555,0.999986564374556
"ENSNFUG00015000352",304.675403701691,-0.00103793151769697,0.00177324474584908,-0.585328968337068,0.558326540178031,0.999986564374556
"ENSNFUG00015000353",0.20860616628841,-0.00421183253380187,0.0291977144049224,-0.144252131361755,0.885301376505135,0.999986564374556
"ENSNFUG00015000357",0.567701168878208,0.00273231862056002,0.0134259262682788,0.203510623100592,0.838735943382531,0.999986564374556
"ENSNFUG00015000358",0.39719088890585,0.0167542542964759,0.0198373271137163,0.84458224641017,0.398344124860478,0.999986564374556
"ENSNFUG00015000361",2048.6864044302,-0.000669413183825778,0.000955333104389414,-0.700711804866872,0.483482887472291,0.999986564374556
"ENSNFUG00015000364",1.83364911937185,-0.00425467040836464,0.0105850259609749,-0.401951816089148,0.687719487558295,0.999986564374556
"ENSNFUG00015000368",296.192414170897,0.00147111327315987,0.00150232371338476,0.979225222935096,0.327468708510823,0.999986564374556
